"","releaseId","ContentType","Title","Date","Url","Keywords","Names","Organizations","Places","AssignedCategories","FavoritesLikes","RetweetsShares","FollowersCount","CommentsCount","WordCount","Source","Party","Gender","IsCurrent","SourceType","EducationLevel","Religion","Race","DateOfBirth","AgeRange","Industry","Military","PriorPublicOffice"
"5028","52406327","Twitter","RT @BillHemmer: In minutes, @BobbyJindal LIVE on @AmericaNewsroom & @FoxNews. He is likely the next candidate for POTUS. What questions do ...","2015-06-24 13:05:28Z","http://twitter.com/BobbyJindal/status/613694429535178752","[minutes;candidate]","[]","[]","[]","[]",0,34,189555,NA,22,"(Fmr.) Jindal, Bobby (R) Presidential Campaign","Republican","Male","False","Candidates > Presidential 2016","Graduate","Roman Catholic","Asian","1971-06-10","35-44","[Consulting Services;Public Administration]","","[Federal;State]"
"5068","52406325","Twitter","I’m running for President of the United States of America. Join me: http://t.co/MmqB4kxpUq","2015-06-24 16:29:54Z","http://twitter.com/BobbyJindal/status/613745877639802881","[]","[]","[President of the United States]","[United States;America]","[]",761,1274,189555,NA,13,"(Fmr.) Jindal, Bobby (R) Presidential Campaign","Republican","Male","False","Candidates > Presidential 2016","Graduate","Roman Catholic","Asian","1971-06-10","35-44","[Consulting Services;Public Administration]","","[Federal;State]"
"5083","52406323","Twitter","RT @SupriyaJindal: Did you see the news? Bobby is running for President. Check out how we told the kids: http://t.co/Abn4YCY90V","2015-06-24 17:45:34Z","http://twitter.com/BobbyJindal/status/613764917003460608","[news;kids]","[]","[]","[]","[]",0,58,189555,NA,20,"(Fmr.) Jindal, Bobby (R) Presidential Campaign","Republican","Male","False","Candidates > Presidential 2016","Graduate","Roman Catholic","Asian","1971-06-10","35-44","[Consulting Services;Public Administration]","","[Federal;State]"
"5089","52406321","Twitter","#GeauxBobby https://t.co/FfK9SI5kpl","2015-06-24 18:41:33Z","http://twitter.com/BobbyJindal/status/613779006333321216","[football;boys]","[]","[]","[]","[]",28,18,189555,NA,2,"(Fmr.) Jindal, Bobby (R) Presidential Campaign","Republican","Male","False","Candidates > Presidential 2016","Graduate","Roman Catholic","Asian","1971-06-10","35-44","[Consulting Services;Public Administration]","","[Federal;State]"
"5092","52406319","Twitter","Want to stay up to date with my Presidential campaign? Make sure we’ve got you on our mailing list: http://t.co/EGghK2pKcR","2015-06-24 19:09:48Z","http://twitter.com/BobbyJindal/status/613786118530543616","[campaign;mailing;presidential campaign;mailing list]","[]","[]","[]","[]",32,26,189555,NA,20,"(Fmr.) Jindal, Bobby (R) Presidential Campaign","Republican","Male","False","Candidates > Presidential 2016","Graduate","Roman Catholic","Asian","1971-06-10","35-44","[Consulting Services;Public Administration]","","[Federal;State]"
"5096","52406317","Twitter","Shaan says I can count on @WillieBossHog’s vote. Can I count on your support too?http://t.co/EGghK2pKcR https://t.co/UBHcguBlQU","2015-06-24 19:41:12Z","http://twitter.com/BobbyJindal/status/613794020410523648","[vote;support]","[]","[]","[Shaan]","[]",35,24,189555,NA,16,"(Fmr.) Jindal, Bobby (R) Presidential Campaign","Republican","Male","False","Candidates > Presidential 2016","Graduate","Roman Catholic","Asian","1971-06-10","35-44","[Consulting Services;Public Administration]","","[Federal;State]"
"5106","52406315","Twitter","In an hour, my son Shaan is taking control of my @Periscopeco account, and giving an all access look at the announcement.","2015-06-24 20:35:15Z","http://twitter.com/BobbyJindal/status/613807622429380608","[son;announcement]","[]","[]","[Shaan]","[]",28,14,189555,NA,22,"(Fmr.) Jindal, Bobby (R) Presidential Campaign","Republican","Male","False","Candidates > Presidential 2016","Graduate","Roman Catholic","Asian","1971-06-10","35-44","[Consulting Services;Public Administration]","","[Federal;State]"
"5113","52406313","Twitter","RT @SupriyaJindal: Waiting for dad. #GeauxBobby http://t.co/QSlSvIO9OH","2015-06-24 21:04:48Z","http://twitter.com/BobbyJindal/status/613815057588170753","[dad]","[]","[]","[]","[]",0,37,189555,NA,7,"(Fmr.) Jindal, Bobby (R) Presidential Campaign","Republican","Male","False","Candidates > Presidential 2016","Graduate","Roman Catholic","Asian","1971-06-10","35-44","[Consulting Services;Public Administration]","","[Federal;State]"
"5114","52406311","Twitter","The room is buzzing. #GeauxBobby http://t.co/xsfBY1wVvr","2015-06-24 21:08:53Z","http://twitter.com/BobbyJindal/status/613816084282486785","[room]","[]","[]","[]","[]",52,27,189555,NA,6,"(Fmr.) Jindal, Bobby (R) Presidential Campaign","Republican","Male","False","Candidates > Presidential 2016","Graduate","Roman Catholic","Asian","1971-06-10","35-44","[Consulting Services;Public Administration]","","[Federal;State]"
"5118","52406309","Twitter","My son Shaan is about to take over my @Periscopeco and give a behind the scenes look at the announcement. Stay tuned.","2015-06-24 21:18:50Z","http://twitter.com/BobbyJindal/status/613818589376811010","[son;scenes]","[]","[]","[Shaan]","[]",24,11,189555,NA,22,"(Fmr.) Jindal, Bobby (R) Presidential Campaign","Republican","Male","False","Candidates > Presidential 2016","Graduate","Roman Catholic","Asian","1971-06-10","35-44","[Consulting Services;Public Administration]","","[Federal;State]"
