"","releaseId","ContentType","Title","Date","Url","Keywords","Names","Organizations","Places","AssignedCategories","FavoritesLikes","RetweetsShares","FollowersCount","CommentsCount","WordCount","Source","Party","Gender","IsCurrent","SourceType","EducationLevel","Religion","Race","DateOfBirth","AgeRange","Industry","Military","PriorPublicOffice"
"3997","51892875","Twitter","Thanks amiga. You will be missed. https://t.co/ImkzVO8GQS","2015-06-15 01:09:32Z","http://twitter.com/JebBush/status/610252770038423553","[spirit;amiga]","[]","[]","[]","[]",66,31,199411,NA,7,"Bush, Jeb (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Undergraduate","Roman Catholic","White","1953-02-11","55-64","[Business;Finance - Banking;Real Estate]","","[State]"
"4000","51892873","Twitter","I see a country on the verge of its greatest century. Check out this 60-second video: https://t.co/1W7R3Nmah6","2015-06-15 11:14:34Z","http://twitter.com/JebBush/status/610405028382277632","[century;verge;greatest century]","[]","[]","[]","[]",115,114,199411,NA,17,"Bush, Jeb (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Undergraduate","Roman Catholic","White","1953-02-11","55-64","[Business;Finance - Banking;Real Estate]","","[State]"
"4001","51892871","Twitter","It's a beautiful day in Miami. See you there, Jim. https://t.co/4JxUw1umNX","2015-06-15 11:40:49Z","http://twitter.com/JebBush/status/610411634935341056","[announcement;beautiful day;neigborhood;#Jeb2016]","[]","[]","[Miami]","[]",71,41,199411,NA,11,"Bush, Jeb (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Undergraduate","Roman Catholic","White","1953-02-11","55-64","[Business;Finance - Banking;Real Estate]","","[State]"
"4004","51892869","Twitter","Cuando miro hacia el futuro, veo una gran nación a punto de comenzar su mejor siglo. http://t.co/TeZoSaEeTp","2015-06-15 12:14:06Z","http://twitter.com/JebBush/status/610420010545229824","[]","[]","[]","[Cuando]","[]",81,86,199411,NA,17,"Bush, Jeb (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Undergraduate","Roman Catholic","White","1953-02-11","55-64","[Business;Finance - Banking;Real Estate]","","[State]"
"4006","51892867","Twitter","Big announcement today from @MDCollege at 3:00 PM ET. Glad to have you all onboard for the ride.","2015-06-15 12:46:00Z","http://twitter.com/JebBush/status/610428040775081984","[ride;announcement today;onboard]","[]","[]","[]","[]",161,128,199411,NA,18,"Bush, Jeb (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Undergraduate","Roman Catholic","White","1953-02-11","55-64","[Business;Finance - Banking;Real Estate]","","[State]"
"4010","51892865","Twitter","Graffiti artist Tony Alonso is #AllInForJeb. https://t.co/Rc6OdmpMUL","2015-06-15 13:04:11Z","http://twitter.com/JebBush/status/610432616228102144","[artist;graffiti;graffiti artist;#AllInForJeb]","[]","[]","[]","[]",44,36,199411,NA,7,"Bush, Jeb (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Undergraduate","Roman Catholic","White","1953-02-11","55-64","[Business;Finance - Banking;Real Estate]","","[State]"
"4019","51892863","Twitter","Six months ago, I said I’d explore the possibility of running for President. Here’s a look back at those 6 months: https://t.co/Os30JZqKlp","2015-06-15 14:29:05Z","http://twitter.com/JebBush/status/610453980913733632","[months;possibility]","[]","[]","[]","[]",112,80,199411,NA,22,"Bush, Jeb (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Undergraduate","Roman Catholic","White","1953-02-11","55-64","[Business;Finance - Banking;Real Estate]","","[State]"
"4024","51892861","Twitter",".@marcorubio thanks Marco. Glad I can do it in our hometown. See you out there!","2015-06-15 15:19:51Z","http://twitter.com/JebBush/status/610466758978347008","[hometown]","[]","[]","[]","[]",260,133,199411,NA,15,"Bush, Jeb (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Undergraduate","Roman Catholic","White","1953-02-11","55-64","[Business;Finance - Banking;Real Estate]","","[State]"
"4028","51892859","Twitter","Ready for a great day. http://t.co/AWm5bvtkgB","2015-06-15 15:48:57Z","http://twitter.com/JebBush/status/610474078453919745","[day;great day]","[]","[]","[]","[]",337,207,199411,NA,6,"Bush, Jeb (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Undergraduate","Roman Catholic","White","1953-02-11","55-64","[Business;Finance - Banking;Real Estate]","","[State]"
"4032","51892857","Twitter","Thanks Tatum! https://t.co/9NNnh9mRit","2015-06-15 16:06:13Z","http://twitter.com/JebBush/status/610478425086623744","[voter;candidate;eligible voter;hardworking candidate]","[]","[]","[Tatum]","[]",70,24,199411,NA,3,"Bush, Jeb (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Undergraduate","Roman Catholic","White","1953-02-11","55-64","[Business;Finance - Banking;Real Estate]","","[State]"
"4035","51892855","Twitter","The stage is set. Less than three hours until my big announcement. https://t.co/2iU9PYX8X2","2015-06-15 16:34:32Z","http://twitter.com/JebBush/status/610485553268551680","[stage;announcement]","[]","[]","[]","[]",203,163,199411,NA,13,"Bush, Jeb (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Undergraduate","Roman Catholic","White","1953-02-11","55-64","[Business;Finance - Banking;Real Estate]","","[State]"
"4041","51892853","Twitter","I'm honored to be in this position, and I'm gonna give it my all. https://t.co/wV9LPH7uLv","2015-06-15 17:29:08Z","http://twitter.com/JebBush/status/610499293217058816","[position]","[]","[]","[]","[]",234,157,199411,NA,15,"Bush, Jeb (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Undergraduate","Roman Catholic","White","1953-02-11","55-64","[Business;Finance - Banking;Real Estate]","","[State]"
"4046","51892851","Twitter","Big announcement coming up at 3:00 PM ET. Watch live online here: http://t.co/Z3wh8ECPUl","2015-06-15 18:11:04Z","http://twitter.com/JebBush/status/610509845981065216","[announcement;online;live online]","[]","[]","[]","[]",150,126,199411,NA,13,"Bush, Jeb (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Undergraduate","Roman Catholic","White","1953-02-11","55-64","[Business;Finance - Banking;Real Estate]","","[State]"
"4051","51892849","Twitter","Watch live → http://t.co/Z3wh8EUriV","2015-06-15 19:00:53Z","http://twitter.com/JebBush/status/610522380037918721","[]","[]","[]","[]","[]",115,97,199411,NA,3,"Bush, Jeb (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Undergraduate","Roman Catholic","White","1953-02-11","55-64","[Business;Finance - Banking;Real Estate]","","[State]"
"4053","51892845","Twitter","Two of the most important women in my life. http://t.co/EzIseKnuTi","2015-06-15 19:02:58Z","http://twitter.com/JebBush/status/610522907412856832","[life;women;important women]","[]","[]","[]","[]",473,149,199411,NA,10,"Bush, Jeb (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Undergraduate","Roman Catholic","White","1953-02-11","55-64","[Business;Finance - Banking;Real Estate]","","[State]"
"4056","51892843","Twitter","Talking to Dad backstage. Head to http://t.co/Z3wh8EUriV to watch the speech, starting soon! http://t.co/g6j0lOC7eE","2015-06-15 19:26:54Z","http://twitter.com/JebBush/status/610528930450288640","[speech]","[]","[]","[]","[]",465,289,199411,NA,14,"Bush, Jeb (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Undergraduate","Roman Catholic","White","1953-02-11","55-64","[Business;Finance - Banking;Real Estate]","","[State]"
"4057","51889133","Twitter","RT @ColumbaBush: ¡Todos por Jeb! @JebBush http://t.co/DOhAxKFpCd http://t.co/nJQ5uOTZKR","2015-06-15 19:30:20Z","http://twitter.com/JebBush/status/610529793570791424","[]","[]","[]","[]","[]",0,114,197755,NA,8,"Bush, Jeb (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Undergraduate","Roman Catholic","White","1953-02-11","55-64","[Business;Finance - Banking;Real Estate]","","[State]"
"4061","51891411","Twitter","I'm running for President of the United States. I will run with heart. I will run to win. http://t.co/Z3wh8ECPUl","2015-06-15 20:07:31Z","http://twitter.com/JebBush/status/610539151205642240","[heart]","[]","[President of the United States]","[United States]","[]",1448,1687,198272,NA,19,"Bush, Jeb (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Undergraduate","Roman Catholic","White","1953-02-11","55-64","[Business;Finance - Banking;Real Estate]","","[State]"
"4062","51891451","Twitter","We will lift our sights again, make opportunity common again, get events in the world moving our way again.","2015-06-15 20:08:34Z","http://twitter.com/JebBush/status/610539416507932672","[events;sights]","[]","[]","[]","[]",140,127,198300,NA,19,"Bush, Jeb (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Undergraduate","Roman Catholic","White","1953-02-11","55-64","[Business;Finance - Banking;Real Estate]","","[State]"
"4063","51891503","Twitter","That will be my goal as president – four percent growth, and the 19 million new jobs that come with it.","2015-06-15 20:09:39Z","http://twitter.com/JebBush/status/610539689624219648","[growth;goal;percent growth]","[]","[]","[]","[Jobs]",191,190,198340,NA,21,"Bush, Jeb (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Undergraduate","Roman Catholic","White","1953-02-11","55-64","[Business;Finance - Banking;Real Estate]","","[State]"
"4064","51891639","Twitter","What the IRS, EPA, and entire bureaucracy have done with overregulation, we can undo by act of Congress and order of the president.","2015-06-15 20:12:21Z","http://twitter.com/JebBush/status/610540368002617344","[bureaucracy;overregulation]","[]","[IRS;EPA]","[]","[]",134,95,198450,NA,23,"Bush, Jeb (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Undergraduate","Roman Catholic","White","1953-02-11","55-64","[Business;Finance - Banking;Real Estate]","","[State]"
"4065","51891811","Twitter","We are not going to clean up the mess in Washington by electing the people who either helped create it or have proven incapable of fixing it","2015-06-15 20:15:54Z","http://twitter.com/JebBush/status/610541259644506114","[people;mess]","[]","[]","[Washington]","[]",223,197,198568,NA,27,"Bush, Jeb (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Undergraduate","Roman Catholic","White","1953-02-11","55-64","[Business;Finance - Banking;Real Estate]","","[State]"
"4066","51891951","Twitter","We didn’t leave the most vulnerable last in line.  We put them first in line, because they are not a problem. They are a priority.","2015-06-15 20:18:25Z","http://twitter.com/JebBush/status/610541893068271616","[line;priority]","[]","[]","[]","[]",177,144,198668,NA,25,"Bush, Jeb (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Undergraduate","Roman Catholic","White","1953-02-11","55-64","[Business;Finance - Banking;Real Estate]","","[State]"
"4067","51892449","Twitter","It’s nobody’s turn. It’s everybody’s test and it’s wide open – exactly as a contest for president should be.","2015-06-15 20:29:14Z","http://twitter.com/JebBush/status/610544614366314496","[contest;nobody]","[]","[]","[]","[]",286,242,199087,NA,19,"Bush, Jeb (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Undergraduate","Roman Catholic","White","1953-02-11","55-64","[Business;Finance - Banking;Real Estate]","","[State]"
"4068","51892581","Twitter","I will campaign as I would serve, going everywhere, speaking to everyone, keeping my word, facing the issues without flinching.","2015-06-15 20:31:28Z","http://twitter.com/JebBush/status/610545176050675713","[campaign;everyone]","[]","[]","[]","[]",324,229,199176,NA,20,"Bush, Jeb (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Undergraduate","Roman Catholic","White","1953-02-11","55-64","[Business;Finance - Banking;Real Estate]","","[State]"
"4069","51896731","Twitter","Are you #AllInForJeb? Join Team Jeb from day 1 → http://t.co/EG4sxaYxwW","2015-06-15 20:48:34Z","http://twitter.com/JebBush/status/610549481419870208","[day;#AllInForJeb]","[]","[]","[]","[]",196,101,199691,NA,10,"Bush, Jeb (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Undergraduate","Roman Catholic","White","1953-02-11","55-64","[Business;Finance - Banking;Real Estate]","","[State]"
"4073","51898485","Twitter","I will take nothing and no one for granted. I will run with heart.  I will run to win. http://t.co/8qHDklnxIx","2015-06-15 21:27:18Z","http://twitter.com/JebBush/status/610559229015953408","[heart;nothing]","[]","[]","[]","[]",1014,743,200350,NA,20,"Bush, Jeb (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Undergraduate","Roman Catholic","White","1953-02-11","55-64","[Business;Finance - Banking;Real Estate]","","[State]"
"4084","51901489","Twitter","Amazing crowd, amazing day. http://t.co/jaNzsUjdSt","2015-06-15 23:09:49Z","http://twitter.com/JebBush/status/610585030247739393","[day;crowd;amazing day;amazing crowd]","[]","[]","[]","[]",355,173,201342,NA,5,"Bush, Jeb (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Undergraduate","Roman Catholic","White","1953-02-11","55-64","[Business;Finance - Banking;Real Estate]","","[State]"
"4091","51902339","Twitter","Pitch in $3 and join Team Jeb on day 1 →  http://t.co/ONlgHL8EST","2015-06-15 23:54:47Z","http://twitter.com/JebBush/status/610596344768659456","[day;pitch]","[]","[]","[]","[]",84,43,201667,NA,10,"Bush, Jeb (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Undergraduate","Roman Catholic","White","1953-02-11","55-64","[Business;Finance - Banking;Real Estate]","","[State]"
"4096","51905159","Twitter",".@SarahPalinUSA thanks Sarah. God has a purpose for everyone.","2015-06-16 01:58:34Z","http://twitter.com/JebBush/status/610627495797329921","[everyone]","[]","[]","[]","[]",176,69,202291,NA,9,"Bush, Jeb (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Undergraduate","Roman Catholic","White","1953-02-11","55-64","[Business;Finance - Banking;Real Estate]","","[State]"
"4128","51919681","Twitter","Back in the Granite State! Stopped by Airport Diner on the way to a town hall in Derry. http://t.co/6s7l9uY68o","2015-06-16 13:41:03Z","http://twitter.com/JebBush/status/610804281785090048","[granite;granite state;diner;airport diner]","[]","[]","[Derry;Granite]","[Aviation Industry]",123,53,203682,NA,19,"Bush, Jeb (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Undergraduate","Roman Catholic","White","1953-02-11","55-64","[Business;Finance - Banking;Real Estate]","","[State]"
