"","releaseId","ContentType","Title","Date","Url","Keywords","Names","Organizations","Places","AssignedCategories","FavoritesLikes","RetweetsShares","FollowersCount","CommentsCount","WordCount","Source","Party","Gender","IsCurrent","SourceType","EducationLevel","Religion","Race","DateOfBirth","AgeRange","Industry","Military","PriorPublicOffice"
"5863","52663957","Twitter","RT if you will watch tomorrow's announcement at 11am LIVE on http://t.co/p1ZLCgQPt6 https://t.co/yTo9Swkr4Y #TellingItLikeItIs","2015-06-30 03:29:27Z","http://twitter.com/ChrisChristie/status/615723795316350976","[announcement;#tellingitlikeitis]","[]","[]","[]","[]",27,41,31621,NA,14,"Christie, Chris (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1962-09-06","45-54","[Law;Politics]","","[Local;State]"
"5870","52663955","Twitter","WATCH today's announcement LIVE at 11am on: https://t.co/77XhuWNbin","2015-06-30 12:21:52Z","http://twitter.com/ChrisChristie/status/615857782357491712","[announcement]","[]","[]","[]","[]",33,25,31621,NA,8,"Christie, Chris (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1962-09-06","45-54","[Law;Politics]","","[Local;State]"
"5898","52663953","Twitter","Less than 30 minutes to go! Watch my announcement at http://t.co/p1ZLCgze4w http://t.co/yyMTu0bIcg","2015-06-30 14:40:48Z","http://twitter.com/ChrisChristie/status/615892749351411712","[minutes;announcement]","[]","[]","[]","[]",40,35,31621,NA,12,"Christie, Chris (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1962-09-06","45-54","[Law;Politics]","","[Local;State]"
"5899","52663951","Twitter","Follow us on Snapchat! http://t.co/mSxgtWqER2","2015-06-30 14:45:36Z","http://twitter.com/ChrisChristie/status/615893956220559360","[snapchat]","[]","[]","[]","[]",36,19,31621,NA,5,"Christie, Chris (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1962-09-06","45-54","[Law;Politics]","","[Local;State]"
"5902","52663949","Twitter","Less than 10 out. I’m ready. #TellingItLikeItIs http://t.co/DjB67uZpCg","2015-06-30 14:55:04Z","http://twitter.com/ChrisChristie/status/615896336920125442","[#tellingitlikeitis]","[]","[]","[]","[]",73,53,31621,NA,8,"Christie, Chris (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1962-09-06","45-54","[Law;Politics]","","[Local;State]"
"5905","52663947","Twitter","RT @YouTube: [LIVE] @ChrisChristie announces his presidential campaign. https://t.co/hmjMBPoP76 http://t.co/ac43lU1ugD","2015-06-30 15:02:28Z","http://twitter.com/ChrisChristie/status/615898202101805056","[campaign;presidential campaign]","[]","[]","[]","[]",0,280,31621,NA,10,"Christie, Chris (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1962-09-06","45-54","[Law;Politics]","","[Local;State]"
"5931","52663945","Twitter","Showing @MLauer around my hometown. #Christie2016 http://t.co/S05KIHCnw6","2015-06-30 17:23:57Z","http://twitter.com/ChrisChristie/status/615933807372435456","[hometown;#Christie2016]","[]","[]","[]","[]",66,18,31621,NA,7,"Christie, Chris (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1962-09-06","45-54","[Law;Politics]","","[Local;State]"
"5934","52663943","Twitter","RT @billboard: Jon Bon Jovi gave @ChrisChristie permission to use his music in presidential bid announcement: http://t.co/B0lwAv08L2 ...","2015-06-30 17:38:12Z","http://twitter.com/ChrisChristie/status/615937393070317568","[music;bid;presidential bid;bid announcement]","[Jon Bon]","[]","[]","[]",0,129,31621,NA,18,"Christie, Chris (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1962-09-06","45-54","[Law;Politics]","","[Local;State]"
"5935","52663941","Twitter","@mattgiese thanks Matt","2015-06-30 17:38:34Z","http://twitter.com/ChrisChristie/status/615937486334885888","[]","[]","[]","[]","[]",5,1,31621,NA,3,"Christie, Chris (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1962-09-06","45-54","[Law;Politics]","","[Local;State]"
"5940","52663939","Twitter","@Kallevik thanks Annette","2015-06-30 18:11:42Z","http://twitter.com/ChrisChristie/status/615945821935284224","[]","[]","[]","[]","[]",4,1,31621,NA,3,"Christie, Chris (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1962-09-06","45-54","[Law;Politics]","","[Local;State]"
"5941","52663937","Twitter","@alliesmith96 thanks Allie. Appreciate the support!","2015-06-30 18:13:07Z","http://twitter.com/ChrisChristie/status/615946177725513728","[support]","[]","[]","[Allie]","[]",10,3,31621,NA,6,"Christie, Chris (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1962-09-06","45-54","[Law;Politics]","","[Local;State]"
"5960","52663935","Twitter","RT @NBCPolitics: Chris Christie tells Matt Lauer: ""I've never had a problem getting attention."" http://t.co/rCEndoI0qY ...","2015-06-30 20:10:35Z","http://twitter.com/ChrisChristie/status/615975740539072512","[problem;attention]","[Chris Christie]","[]","[]","[]",0,28,31621,NA,16,"Christie, Chris (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1962-09-06","45-54","[Law;Politics]","","[Local;State]"
"5963","52663933","Twitter","It’s official. I’m running for President. http://t.co/GJq35UveVx #Christie2016 #TellingItLikeItIs","2015-06-30 20:20:26Z","http://twitter.com/ChrisChristie/status/615978219079114752","[#tellingitlikeitis;#Christie2016]","[]","[]","[]","[]",160,137,31621,NA,9,"Christie, Chris (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1962-09-06","45-54","[Law;Politics]","","[Local;State]"
"5964","52663931","Twitter","@Dendill thanks for the support!","2015-06-30 20:21:51Z","http://twitter.com/ChrisChristie/status/615978577188782080","[support]","[]","[]","[]","[]",5,1,31621,NA,5,"Christie, Chris (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1962-09-06","45-54","[Law;Politics]","","[Local;State]"
"5969","52663929","Twitter","En route to NH for a town hall in Sandown. You can watch it live here: http://t.co/p1ZLCgQPt6 #TellingItLikeItIs http://t.co/2QKMSCSwf3","2015-06-30 20:52:08Z","http://twitter.com/ChrisChristie/status/615986198822187008","[route;hall;town hall;#tellingitlikeitis]","[]","[]","[Sandown]","[]",26,18,31621,NA,19,"Christie, Chris (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1962-09-06","45-54","[Law;Politics]","","[Local;State]"
"5979","52663927","Twitter","In today's @UnionLeader ---> ""Wayne MacDonald: For Republicans in 2016, it has to be Chris Christie"" http://t.co/TOzTwsLcn4","2015-06-30 21:33:16Z","http://twitter.com/ChrisChristie/status/615996546539130880","[]","[]","[]","[]","[]",16,7,31621,NA,17,"Christie, Chris (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1962-09-06","45-54","[Law;Politics]","","[Local;State]"
"5980","52663923","Twitter","@FreestylinSusan thanks Susan! Appreciate the support.","2015-06-30 21:41:54Z","http://twitter.com/ChrisChristie/status/615998719842844672","[support]","[]","[]","[]","[]",6,1,31621,NA,6,"Christie, Chris (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1962-09-06","45-54","[Law;Politics]","","[Local;State]"
"5984","52665633","Twitter","Town hall is about to begin. Tune in  LIVE here: http://t.co/p1ZLCgze4w #Christie2016 #TellingItLikeItIs","2015-06-30 22:10:32Z","http://twitter.com/ChrisChristie/status/616005928945451008","[hall;tune;#tellingitlikeitis;#Christie2016]","[]","[]","[]","[]",20,13,31628,NA,13,"Christie, Chris (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1962-09-06","45-54","[Law;Politics]","","[Local;State]"
"5990","52666733","Twitter","Made it to NH for our Sandown town hall. You can watch it live at: http://t.co/p1ZLCgQPt6 #TellingItLikeItIs http://t.co/UKtj2G2kj6","2015-06-30 22:30:37Z","http://twitter.com/ChrisChristie/status/616010981693628416","[town;hall;town hall;#tellingitlikeitis]","[]","[]","[Sandown]","[]",33,19,31655,NA,18,"Christie, Chris (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1962-09-06","45-54","[Law;Politics]","","[Local;State]"
"5991","52666753","Twitter","RT @TODAYshow: Tomorrow On TODAY: @MLauer talks to @ChrisChristie & his family in their 1st post presidential announcement interview ...","2015-06-30 22:31:06Z","http://twitter.com/ChrisChristie/status/616011104100159488","[interview;announcement;presidential announcement]","[]","[]","[]","[]",0,28,31658,NA,20,"Christie, Chris (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1962-09-06","45-54","[Law;Politics]","","[Local;State]"
"6025","52671459","Twitter","VIA @NYpost: ""Why no one should count Chris Christie out""  http://t.co/5Fmpr8TYI5","2015-07-01 01:39:41Z","http://twitter.com/ChrisChristie/status/616058563253903365","[]","[Chris Christie]","[]","[]","[]",46,24,31915,NA,11,"Christie, Chris (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1962-09-06","45-54","[Law;Politics]","","[Local;State]"
"6044","52674683","Twitter","America needs someone who has actually had the experience of running a government. https://t.co/phzI1fQzdX #Christie2016 #TellingItLikeItIs","2015-07-01 04:36:21Z","http://twitter.com/ChrisChristie/status/616103021034913792","[experience;someone;#tellingitlikeitis;#Christie2016]","[]","[]","[America]","[]",53,29,32214,NA,16,"Christie, Chris (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1962-09-06","45-54","[Law;Politics]","","[Local;State]"
"6052","52687003","Twitter","Have you checked out our site? Go to http://t.co/p1ZLCgQPt6 #Christie2016 #TellingItLikeItIs","2015-07-01 13:22:55Z","http://twitter.com/ChrisChristie/status/616235537821761536","[site;#tellingitlikeitis;#Christie2016]","[]","[]","[]","[]",25,15,32419,NA,11,"Christie, Chris (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1962-09-06","45-54","[Law;Politics]","","[Local;State]"
"6054","52687645","Twitter","RT @foxandfriends: Mary Pat Christie opens up about her husband @ChrisChristie's presidential run: http://t.co/3u3Z98qDkS","2015-07-01 13:34:39Z","http://twitter.com/ChrisChristie/status/616238489265418240","[husband;run;presidential run]","[Mary Pat Christie]","[]","[]","[]",0,6,32419,NA,14,"Christie, Chris (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1962-09-06","45-54","[Law;Politics]","","[Local;State]"
"6059","52688507","Twitter","RT @TODAYshow: .@ChrisChristie: Why I’m the most qualified for the White House http://t.co/mYbDMk0lw1 http://t.co/AjR6VCKvqW","2015-07-01 13:49:51Z","http://twitter.com/ChrisChristie/status/616242315036872704","[]","[]","[]","[]","[]",0,27,32425,NA,14,"Christie, Chris (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1962-09-06","45-54","[Law;Politics]","","[Local;State]"
"6060","52688509","Twitter","RT @TODAYshow: ""I'm gonna tell the truth as I see it."" -@ChrisChristie tells @MLauer","2015-07-01 13:49:59Z","http://twitter.com/ChrisChristie/status/616242349199466496","[truth]","[]","[]","[]","[]",0,17,32425,NA,14,"Christie, Chris (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1962-09-06","45-54","[Law;Politics]","","[Local;State]"
"6061","52688519","Twitter","RT @TODAYshow: ""I felt like I had something I could contribute to make the country a better place and to change the world"" -@ChrisChristie ...","2015-07-01 13:50:07Z","http://twitter.com/ChrisChristie/status/616242381269151744","[world;country]","[]","[]","[]","[]",0,22,32425,NA,25,"Christie, Chris (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1962-09-06","45-54","[Law;Politics]","","[Local;State]"
"6070","52691449","Twitter",".@governor_LePage is the first Gov to endorse and I’m so honored to receive his endorsement. #christie2016 http://t.co/TRv9UZSH3x","2015-07-01 14:39:16Z","http://twitter.com/ChrisChristie/status/616254748354826240","[endorsement;#Christie2016]","[]","[]","[]","[]",39,26,32443,NA,17,"Christie, Chris (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1962-09-06","45-54","[Law;Politics]","","[Local;State]"
"6072","52691781","Twitter","RT @MarcNECN: It's official! Maine Gov. Paul LePage endorses @ChrisChristie, calling him ""the real deal.""","2015-07-01 14:42:41Z","http://twitter.com/ChrisChristie/status/616255608778584064","[deal;real deal]","[Paul LePage]","[]","[Maine]","[]",0,21,32443,NA,15,"Christie, Chris (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1962-09-06","45-54","[Law;Politics]","","[Local;State]"
"6073","52691997","Twitter","RT @ZekeJMiller: . @ChrisChristie says he called @Governor_LePage over the weekend to tell him he was running and LePage said he’d endorse","2015-07-01 14:45:34Z","http://twitter.com/ChrisChristie/status/616256334187634688","[weekend]","[]","[]","[]","[]",0,6,32446,NA,22,"Christie, Chris (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1962-09-06","45-54","[Law;Politics]","","[Local;State]"
"6093","52696765","Twitter","Thank you @Governor_LePage for your support, confidence and friendship https://t.co/lYyypXqbZ3 #TellingItLikeItIs #Christie2016","2015-07-01 15:39:18Z","http://twitter.com/ChrisChristie/status/616269858846691328","[confidence;friendship;#TellingItLikeItIs;#Christie2016]","[]","[]","[]","[]",26,13,32474,NA,12,"Christie, Chris (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1962-09-06","45-54","[Law;Politics]","","[Local;State]"
"6112","52714563","Twitter",".@seanhannity thanks for making the trip to New Hampshire. Great conversation and my kids really enjoyed meeting you. http://t.co/rhl6YVBvYw","2015-07-01 17:13:03Z","http://twitter.com/ChrisChristie/status/616293450003181570","[conversation;trip;great conversation]","[]","[]","[New Hampshire]","[]",26,6,32510,NA,19,"Christie, Chris (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1962-09-06","45-54","[Law;Politics]","","[Local;State]"
"6113","52715369","Twitter",".@MLauer thanks for the trip down memory lane.  Mary Pat and I enjoyed visiting my childhood home. #TellingItLikeItIs http://t.co/yzyJL7ieiU","2015-07-01 17:16:34Z","http://twitter.com/ChrisChristie/status/616294336431583233","[lane;childhood;memory lane;childhood home;#tellingitlikeitis]","[Mary Pat]","[]","[]","[]",66,18,32511,NA,19,"Christie, Chris (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1962-09-06","45-54","[Law;Politics]","","[Local;State]"
"6123","52718197","Twitter","On day 1 we received donations from all 50 states. Thank you to all who donated! Let’s keep it going. http://t.co/p1ZLCgQPt6 #christie2016","2015-07-01 18:10:06Z","http://twitter.com/ChrisChristie/status/616307807026024448","[day;donations;#Christie2016]","[]","[]","[]","[]",40,21,32552,NA,22,"Christie, Chris (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1962-09-06","45-54","[Law;Politics]","","[Local;State]"
"6135","52723079","Twitter","Stopped by @WMUR9 to talk w/ @JoshMcElveen about this week’s visit to New Hampshire #TellingItLikeItIs #Christie2016 http://t.co/qclb8ShxyU","2015-07-01 19:21:58Z","http://twitter.com/ChrisChristie/status/616325892944592897","[week;visit;#tellingitlikeitis;#Christie2016]","[]","[]","[New Hampshire]","[]",26,9,32608,NA,17,"Christie, Chris (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1962-09-06","45-54","[Law;Politics]","","[Local;State]"
"6166","52730977","Twitter","Beautiful night for a NH house party. Thx to the Schneider family for hosting. #Christie2016 #TellingItLikeItIs http://t.co/MRFQZef6VD","2015-07-01 21:49:08Z","http://twitter.com/ChrisChristie/status/616362928049098752","[night;beautiful night;house party;#tellingitlikeitis;thx;#Christie2016]","[]","[]","[]","[]",29,9,32657,NA,17,"Christie, Chris (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1962-09-06","45-54","[Law;Politics]","","[Local;State]"
"6170","52732161","Twitter","If you didn’t make it to Ashland, you can watch the town hall live here: https://t.co/ldh479KY0w #Christie2016 #TellingItLikeItIs","2015-07-01 22:09:42Z","http://twitter.com/ChrisChristie/status/616368106534006786","[town;hall;town hall;#tellingitlikeitis;#Christie2016]","[]","[Ashland]","[Ashland]","[]",13,10,32668,NA,18,"Christie, Chris (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1962-09-06","45-54","[Law;Politics]","","[Local;State]"
