"","releaseId","ContentType","Title","Date","Url","Keywords","Names","Organizations","Places","AssignedCategories","FavoritesLikes","RetweetsShares","FollowersCount","CommentsCount","WordCount","Source","Party","Gender","IsCurrent","SourceType","EducationLevel","Religion","Race","DateOfBirth","AgeRange","Industry","Military","PriorPublicOffice"
"1","51878465","Twitter","Tonight around midnight there will be some news you won’t want to miss. Stay tuned…","2015-03-23 00:05:04Z","http://twitter.com/tedcruz/status/579795962173878272","[news;midnight]","[]","[]","[]","[]",1896,1707,416311,NA,15,"Sen. Cruz, Ted - (R – TX) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","Hispanic","1970-12-22","45-54","[Law]","","[Federal;State]"
"2","51878463","Twitter","I'm running for President and I hope to earn your support! http://t.co/0UTqaIoytP","2015-03-23 04:09:58Z","http://twitter.com/tedcruz/status/579857596191899648","[support]","[]","[]","[]","[]",11825,13419,416311,NA,12,"Sen. Cruz, Ted - (R – TX) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","Hispanic","1970-12-22","45-54","[Law]","","[Federal;State]"
"3","51878461","Twitter","Will be speaking at @libertyu momentarily. Watch live here: http://t.co/K4IKnbKIm2","2015-03-23 14:02:30Z","http://twitter.com/tedcruz/status/580006712481947648","[]","[]","[]","[]","[]",246,193,416311,NA,10,"Sen. Cruz, Ted - (R – TX) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","Hispanic","1970-12-22","45-54","[Law]","","[Federal;State]"
"4","51878459","Twitter","Speaking at @LibertyU now. Watch LIVE: http://t.co/K4IKnbKIm2","2015-03-23 14:20:42Z","http://twitter.com/tedcruz/status/580011290745159681","[]","[]","[]","[]","[]",237,177,416311,NA,7,"Sen. Cruz, Ted - (R – TX) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","Hispanic","1970-12-22","45-54","[Law]","","[Federal;State]"
"5","51878457","Twitter","Today I want to talk with you about the promise of America: http://t.co/K4IKnbKIm2","2015-03-23 14:22:18Z","http://twitter.com/tedcruz/status/580011692051959808","[promise;today]","[]","[]","[America]","[]",393,331,416311,NA,13,"Sen. Cruz, Ted - (R – TX) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","Hispanic","1970-12-22","45-54","[Law]","","[Federal;State]"
"6","51878455","Twitter","Some people wonder if faith is real. In my family, there’s not a second of doubt: http://t.co/K4IKnbKIm2","2015-03-23 14:28:55Z","http://twitter.com/tedcruz/status/580013357819809792","[faith;doubt]","[]","[]","[]","[]",625,444,416311,NA,17,"Sen. Cruz, Ted - (R – TX) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","Hispanic","1970-12-22","45-54","[Law]","","[Federal;State]"
"7","51878453","Twitter","The promise of America has allowed millions of people to come to America with nothing and achieve anything http://t.co/K4IKnbKIm2","2015-03-23 14:33:10Z","http://twitter.com/tedcruz/status/580014427086331904","[promise;anything;millions of people]","[]","[]","[America]","[]",450,396,416311,NA,19,"Sen. Cruz, Ted - (R – TX) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","Hispanic","1970-12-22","45-54","[Law]","","[Federal;State]"
"8","51878451","Twitter","Imagine millions of courageous conservatives rising up together to say, in unison, we demand our liberty!","2015-03-23 14:34:55Z","http://twitter.com/tedcruz/status/580014868343885824","[unison;conservatives;courageous conservatives]","[]","[]","[]","[]",1456,1313,416311,NA,16,"Sen. Cruz, Ted - (R – TX) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","Hispanic","1970-12-22","45-54","[Law]","","[Federal;State]"
"9","51878449","Twitter","Five years ago today, the President signed Obamacare into law. Imagine in 2017, a new president signing a #FullRepeal of it!","2015-03-23 14:38:21Z","http://twitter.com/tedcruz/status/580015733142216704","[law;president;#FullRepeal]","[]","[]","[]","[]",2324,1768,416311,NA,21,"Sen. Cruz, Ted - (R – TX) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","Hispanic","1970-12-22","45-54","[Law]","","[Federal;State]"
"10","51878447","Twitter","Imagine abolishing the IRS! #MakeDCListen","2015-03-23 14:39:03Z","http://twitter.com/tedcruz/status/580015908921307136","[#MakeDCListen]","[]","[IRS]","[]","[]",1380,1094,416311,NA,5,"Sen. Cruz, Ted - (R – TX) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","Hispanic","1970-12-22","45-54","[Law]","","[Federal;State]"
"11","51878445","Twitter","Imagine a federal government that stands for the First Amendment rights of every American!","2015-03-23 14:40:18Z","http://twitter.com/tedcruz/status/580016222500089856","[government;federal government;rights]","[]","[]","[]","[Federal Governments]",1242,929,416311,NA,14,"Sen. Cruz, Ted - (R – TX) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","Hispanic","1970-12-22","45-54","[Law]","","[Federal;State]"
