"","releaseId","ContentType","Title","Date","Url","Keywords","Names","Organizations","Places","AssignedCategories","FavoritesLikes","RetweetsShares","FollowersCount","CommentsCount","WordCount","Source","Party","Gender","IsCurrent","SourceType","EducationLevel","Religion","Race","DateOfBirth","AgeRange","Industry","Military","PriorPublicOffice"
"353","51866343","Twitter","I'm running for president. Everyday Americans need a champion, and I want to be that champion. –H https://t.co/w8Hoe1pbtC","2015-04-12 19:27:45Z","http://twitter.com/HillaryClinton/status/587336319321407488","[president;champion]","[]","[]","[]","[]",106883,102974,3663838,NA,18,"Clinton, Hillary Rodham (D) Presidential Campaign","Democrat","Female","True","Candidates > Presidential 2016","Graduate","Protestant","White","1947-10-26","Over 65","[Law]","","[Federal;State]"
"354","51866341","Twitter","I’m hitting the trail to earn your vote. Headed to Iowa. –H http://t.co/Mut4vOMxm0","2015-04-12 19:43:34Z","http://twitter.com/HillaryClinton/status/587340299283869696","[vote;trail]","[]","[]","[Iowa]","[]",12693,6748,3663838,NA,13,"Clinton, Hillary Rodham (D) Presidential Campaign","Democrat","Female","True","Candidates > Presidential 2016","Graduate","Protestant","White","1947-10-26","Over 65","[Law]","","[Federal;State]"
"357","51866339","Twitter","Estoy postulándome para presidente. Todos los estadounidenses necesitan un defensor. Yo quiero ser ese defensor. –H http://t.co/MnnmLkYqLd","2015-04-12 20:28:16Z","http://twitter.com/HillaryClinton/status/587351550328188928","[los;defensor]","[]","[]","[]","[]",5522,5741,3663838,NA,17,"Clinton, Hillary Rodham (D) Presidential Campaign","Democrat","Female","True","Candidates > Presidential 2016","Graduate","Protestant","White","1947-10-26","Over 65","[Law]","","[Federal;State]"
"358","51866337","Twitter","This account will be run by campaign staff from now on—but you’ll still see tweets from Hillary. They’ll be signed ""-H.""","2015-04-12 20:37:36Z","http://twitter.com/HillaryClinton/status/587353897779515392","[campaign;tweets;campaign staff]","[]","[]","[]","[]",8188,3204,3663838,NA,21,"Clinton, Hillary Rodham (D) Presidential Campaign","Democrat","Female","True","Candidates > Presidential 2016","Graduate","Protestant","White","1947-10-26","Over 65","[Law]","","[Federal;State]"
"359","51866335","Twitter","Be a part of this campaign from the very beginning: https://t.co/gYqo31Pp1l","2015-04-12 21:34:43Z","http://twitter.com/HillaryClinton/status/587368273160839169","[campaign;beginning]","[]","[]","[]","[]",4645,2769,3663838,NA,11,"Clinton, Hillary Rodham (D) Presidential Campaign","Democrat","Female","True","Candidates > Presidential 2016","Graduate","Protestant","White","1947-10-26","Over 65","[Law]","","[Federal;State]"
"360","51866333","Twitter","Pitch in $5 today to own a piece of this campaign from the start: http://t.co/9iHRtVOtMl #Hillary2016","2015-04-12 22:03:17Z","http://twitter.com/HillaryClinton/status/587375461250027520","[piece;pitch;#Hillary2016]","[]","[]","[]","[]",1992,1254,3663838,NA,15,"Clinton, Hillary Rodham (D) Presidential Campaign","Democrat","Female","True","Candidates > Presidential 2016","Graduate","Protestant","White","1947-10-26","Over 65","[Law]","","[Federal;State]"
"361","51866331","Twitter","Hillary isn't the only one starting a new chapter. Watch: http://t.co/PuP6zpJSgh #Hillary2016","2015-04-12 23:09:07Z","http://twitter.com/HillaryClinton/status/587392029862277121","[chapter;#Hillary2016]","[]","[]","[]","[]",2748,1598,3663838,NA,12,"Clinton, Hillary Rodham (D) Presidential Campaign","Democrat","Female","True","Candidates > Presidential 2016","Graduate","Protestant","White","1947-10-26","Over 65","[Law]","","[Federal;State]"
"370","51866329","Twitter","Road trip! Loaded the van & set off for IA. Met a great family when we stopped this afternoon. Many more to come. -H http://t.co/5Va7zeR8RP","2015-04-13 00:59:15Z","http://twitter.com/HillaryClinton/status/587419742505426944","[trip;great family;ia]","[]","[]","[]","[]",7891,2956,3663838,NA,25,"Clinton, Hillary Rodham (D) Presidential Campaign","Democrat","Female","True","Candidates > Presidential 2016","Graduate","Protestant","White","1947-10-26","Over 65","[Law]","","[Federal;State]"
"391","51866327","Twitter","Be a part of this campaign: http://t.co/j4Scv8sUPw","2015-04-13 15:12:43Z","http://twitter.com/HillaryClinton/status/587634528216285184","[campaign]","[]","[]","[]","[]",2213,1250,3663838,NA,7,"Clinton, Hillary Rodham (D) Presidential Campaign","Democrat","Female","True","Candidates > Presidential 2016","Graduate","Protestant","White","1947-10-26","Over 65","[Law]","","[Federal;State]"
"464","51866325","Twitter","RT @HillaryforIA: Via the @DMRegister -- meet the amazing Iowans featured in @HillaryClinton's announcement video: http://t.co/MuDNCK2DTr","2015-04-14 00:19:58Z","http://twitter.com/HillaryClinton/status/587772244455202816","[video;announcement;announcement video]","[]","[]","[]","[]",0,374,3663838,NA,16,"Clinton, Hillary Rodham (D) Presidential Campaign","Democrat","Female","True","Candidates > Presidential 2016","Graduate","Protestant","White","1947-10-26","Over 65","[Law]","","[Federal;State]"
