"","releaseId","ContentType","Title","Date","Url","Keywords","Names","Organizations","Places","AssignedCategories","FavoritesLikes","RetweetsShares","FollowersCount","CommentsCount","WordCount","Source","Party","Gender","IsCurrent","SourceType","EducationLevel","Religion","Race","DateOfBirth","AgeRange","Industry","Military","PriorPublicOffice"
"6301","52778385","Twitter","JIM WEBB ANNOUNCES CANDIDACY FOR PRESIDENT http://t.co/H2iXNN9kdB -Staff http://t.co/zdi7vM5YvQ","2015-07-02 18:08:27Z","http://twitter.com/JimWebbUSA/status/616669782528655360","[staff;candidacy;candidacy for president]","[]","[]","[]","[]",229,361,9293,NA,9,"(Fmr.) Webb, Jim (D) Presidential Campaign","Democrat","Male","False","Candidates > Presidential 2016","Graduate","Protestant","White","1946-02-09","Over 65","[Arts, Entertainment, and Recreation;Journalism;Law]","[Marine Corps]","[Federal]"
"6308","52778383","Twitter","https://t.co/TBJg9LdWvl - Staff http://t.co/NVpc0OZnVv","2015-07-02 18:33:37Z","http://twitter.com/JimWebbUSA/status/616676115436933121","[]","[]","[]","[]","[]",57,56,9293,NA,4,"(Fmr.) Webb, Jim (D) Presidential Campaign","Democrat","Male","False","Candidates > Presidential 2016","Graduate","Protestant","White","1946-02-09","Over 65","[Arts, Entertainment, and Recreation;Journalism;Law]","[Marine Corps]","[Federal]"
"6318","52778381","Twitter","Full text of Senator Webb's announcement letter. https://t.co/Ws0s2Jjxbn – Staff","2015-07-02 18:47:27Z","http://twitter.com/JimWebbUSA/status/616679594972848128","[text;announcement;full text;announcement letter]","[]","[]","[]","[]",26,29,9293,NA,10,"(Fmr.) Webb, Jim (D) Presidential Campaign","Democrat","Male","False","Candidates > Presidential 2016","Graduate","Protestant","White","1946-02-09","Over 65","[Arts, Entertainment, and Recreation;Journalism;Law]","[Marine Corps]","[Federal]"
"6319","52778379","Twitter","RT @TheDigsWorld: @JimWebbUSA You just turned what might have been a Pres coronation into a Pres campaign. Thanks for being a real leader","2015-07-02 18:47:55Z","http://twitter.com/JimWebbUSA/status/616679711025037312","[campaign;coronation;real leader]","[]","[]","[]","[]",0,9,9293,NA,23,"(Fmr.) Webb, Jim (D) Presidential Campaign","Democrat","Male","False","Candidates > Presidential 2016","Graduate","Protestant","White","1946-02-09","Over 65","[Arts, Entertainment, and Recreation;Journalism;Law]","[Marine Corps]","[Federal]"
"6321","52778375","Twitter","RT @charlesfigley: @JimWebbUSA  Worked with you to get PTSD established and the Vet Center. You da man. @charlesfigley","2015-07-02 18:49:41Z","http://twitter.com/JimWebbUSA/status/616680156955049986","[da;ptsd;da man]","[]","[]","[]","[]",0,5,9293,NA,18,"(Fmr.) Webb, Jim (D) Presidential Campaign","Democrat","Male","False","Candidates > Presidential 2016","Graduate","Protestant","White","1946-02-09","Over 65","[Arts, Entertainment, and Recreation;Journalism;Law]","[Marine Corps]","[Federal]"
"6323","52778373","Twitter","RT @dgreichert: Only candidate I'm happy to see, @JimWebbUSA. Without his 9/11 #GIBill, I would not have been able to attend @SyracuseU ...","2015-07-02 18:52:08Z","http://twitter.com/JimWebbUSA/status/616680775531003904","[school;candidate;grad school;#GIBill]","[]","[]","[]","[]",0,11,9293,NA,23,"(Fmr.) Webb, Jim (D) Presidential Campaign","Democrat","Male","False","Candidates > Presidential 2016","Graduate","Protestant","White","1946-02-09","Over 65","[Arts, Entertainment, and Recreation;Journalism;Law]","[Marine Corps]","[Federal]"
"6324","52778371","Twitter","RT @JimHarroldOmaha: I support my fellow military veteran @JimWebbUSA for president.  One of few candidates from either party w/military ...","2015-07-02 18:52:32Z","http://twitter.com/JimWebbUSA/status/616680872432017408","[veteran;candidates;military veteran;#election2016]","[]","[]","[]","[Armed Forces;Veterans]",0,14,9293,NA,20,"(Fmr.) Webb, Jim (D) Presidential Campaign","Democrat","Male","False","Candidates > Presidential 2016","Graduate","Protestant","White","1946-02-09","Over 65","[Arts, Entertainment, and Recreation;Journalism;Law]","[Marine Corps]","[Federal]"
"6336","52778369","Twitter","RT @cspan: Former Sen. @jimwebbusa (D-VA) announced his campaign for democratic nomination for President. http://t.co/xxtePevJ98 ...","2015-07-02 19:32:36Z","http://twitter.com/JimWebbUSA/status/616690958625804288","[nomination;campaign;democratic nomination]","[]","[]","[]","[]",0,61,9293,NA,16,"(Fmr.) Webb, Jim (D) Presidential Campaign","Democrat","Male","False","Candidates > Presidential 2016","Graduate","Protestant","White","1946-02-09","Over 65","[Arts, Entertainment, and Recreation;Journalism;Law]","[Marine Corps]","[Federal]"
"6341","52778361","Twitter","RT @karper: What do you all say we give VERY serious thought to an honorable centrist candidate who might unite us?  @JimWebbUSA","2015-07-02 19:47:05Z","http://twitter.com/JimWebbUSA/status/616694601085136896","[candidate]","[]","[]","[]","[]",0,21,9293,NA,22,"(Fmr.) Webb, Jim (D) Presidential Campaign","Democrat","Male","False","Candidates > Presidential 2016","Graduate","Protestant","White","1946-02-09","Over 65","[Arts, Entertainment, and Recreation;Journalism;Law]","[Marine Corps]","[Federal]"
"6345","52779817","Twitter",".@dontcallmebill Donation page may be accessed directly by this link https://t.co/TBJg9LvxmT Working on the bandwidth issue. -Staff","2015-07-02 20:12:34Z","http://twitter.com/JimWebbUSA/status/616701013907476480","[donation;bandwidth;donation page;bandwidth issue]","[]","[]","[]","[]",11,3,9321,NA,17,"(Fmr.) Webb, Jim (D) Presidential Campaign","Democrat","Male","False","Candidates > Presidential 2016","Graduate","Protestant","White","1946-02-09","Over 65","[Arts, Entertainment, and Recreation;Journalism;Law]","[Marine Corps]","[Federal]"
