"","releaseId","ContentType","Title","Date","Url","Keywords","Names","Organizations","Places","AssignedCategories","FavoritesLikes","RetweetsShares","FollowersCount","CommentsCount","WordCount","Source","Party","Gender","IsCurrent","SourceType","EducationLevel","Religion","Race","DateOfBirth","AgeRange","Industry","Military","PriorPublicOffice"
"9451","53831671","Twitter","We're ready.   Tune in at http://t.co/mOJnqp62hd today at 11:00AM EST and watch the event live!   #Kasich4Us http://t.co/cecBUq4iDD","2015-07-21 12:18:40Z","http://twitter.com/JohnKasich/status/623467123248078849","[event;tune;#Kasich4Us]","[]","[]","[]","[]",126,107,76557,NA,17,"Kasich, John (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Undergraduate","Roman Catholic","White","1952-05-13","55-64","[Broadcasting - Television;Finance - Banking;Politics]","","[Federal;State]"
"9466","53831669","Twitter","The people are ready.   The event kicks off at 11a EST.   Watch live at http://t.co/dy8KnZ122T  #Kasich4Us http://t.co/CWaX8YTEvQ","2015-07-21 13:50:08Z","http://twitter.com/JohnKasich/status/623490143547224064","[people;event;#Kasich4Us]","[]","[]","[]","[]",55,40,76557,NA,17,"Kasich, John (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Undergraduate","Roman Catholic","White","1952-05-13","55-64","[Broadcasting - Television;Finance - Banking;Politics]","","[Federal;State]"
"9476","53831667","Twitter","40 minutes to go. And the @ohiounion is jam packed.   http://t.co/dy8KnZ122T  11am  #Kasich4Us http://t.co/9W0G1sjB9Y","2015-07-21 14:22:46Z","http://twitter.com/JohnKasich/status/623498355440754688","[minutes;jam;#Kasich4Us]","[]","[]","[]","[]",88,76,76557,NA,14,"Kasich, John (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Undergraduate","Roman Catholic","White","1952-05-13","55-64","[Broadcasting - Television;Finance - Banking;Politics]","","[Federal;State]"
"9484","53831665","Twitter","LIVE on #Periscope: It's almost time. The crowd is ready. #Kasich4Us https://t.co/upwKMIDfF2","2015-07-21 14:40:24Z","http://twitter.com/JohnKasich/status/623502791273771008","[crowd;#periscope;#Kasich4Us]","[]","[]","[]","[]",31,29,76557,NA,12,"Kasich, John (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Undergraduate","Roman Catholic","White","1952-05-13","55-64","[Broadcasting - Television;Finance - Banking;Politics]","","[Federal;State]"
"9494","53831663","Twitter","We're 4 minutes out. If you're not in our packed house, it's time to tune into http://t.co/dy8KnZ122T.   #Kasich4Us http://t.co/REMHGohjA2","2015-07-21 14:57:54Z","http://twitter.com/JohnKasich/status/623507195091681280","[house;minutes;packed house;#Kasich4Us]","[]","[]","[]","[]",69,38,76557,NA,19,"Kasich, John (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Undergraduate","Roman Catholic","White","1952-05-13","55-64","[Broadcasting - Television;Finance - Banking;Politics]","","[Federal;State]"
"9503","53831661","Twitter","""I believe [John Kasich] will be the next President of the United States."" - Former NH Senator John Sununu","2015-07-21 15:19:14Z","http://twitter.com/JohnKasich/status/623512565566582784","[president]","[John Sununu]","[President of the United States]","[United States]","[]",117,84,76557,NA,19,"Kasich, John (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Undergraduate","Roman Catholic","White","1952-05-13","55-64","[Broadcasting - Television;Finance - Banking;Politics]","","[Federal;State]"
"9505","53831659","Twitter","It's time.   Tune in now.   http://t.co/dy8KnZ122T  #Kasich4Us http://t.co/OqQvms5roV","2015-07-21 15:22:11Z","http://twitter.com/JohnKasich/status/623513305571848192","[tune;#Kasich4Us]","[]","[]","[]","[]",112,63,76557,NA,8,"Kasich, John (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Undergraduate","Roman Catholic","White","1952-05-13","55-64","[Broadcasting - Television;Finance - Banking;Politics]","","[Federal;State]"
"9507","53831657","Twitter","LIVE on #Periscope: America is ready. #Kasich4Us  https://t.co/wO749IMPSc","2015-07-21 15:27:28Z","http://twitter.com/JohnKasich/status/623514635547881472","[#periscope;#Kasich4Us]","[]","[]","[America]","[]",43,35,76557,NA,8,"Kasich, John (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Undergraduate","Roman Catholic","White","1952-05-13","55-64","[Broadcasting - Television;Finance - Banking;Politics]","","[Federal;State]"
"9519","53831655","Twitter","""The next President of the United States...""   #Kasich4Us http://t.co/1BQ94W9iv6","2015-07-21 15:57:51Z","http://twitter.com/JohnKasich/status/623522282414166016","[president;#Kasich4Us]","[]","[President of the United States]","[United States]","[]",349,240,76557,NA,9,"Kasich, John (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Undergraduate","Roman Catholic","White","1952-05-13","55-64","[Broadcasting - Television;Finance - Banking;Politics]","","[Federal;State]"
"9523","53831653","Twitter","I'm running for President.   Let's get to work,","2015-07-21 16:19:04Z","http://twitter.com/JohnKasich/status/623527624137162753","[]","[]","[]","[]","[]",632,646,76557,NA,8,"Kasich, John (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Undergraduate","Roman Catholic","White","1952-05-13","55-64","[Broadcasting - Television;Finance - Banking;Politics]","","[Federal;State]"
