"","releaseId","ContentType","Title","Date","Url","Keywords","Names","Organizations","Places","AssignedCategories","FavoritesLikes","RetweetsShares","FollowersCount","CommentsCount","WordCount","Source","Party","Gender","IsCurrent","SourceType","EducationLevel","Religion","Race","DateOfBirth","AgeRange","Industry","Military","PriorPublicOffice"
"247","51858715","Twitter","Today I am excited to announce my 2016 presidential exploratory committee.  http://t.co/xNYPDxIs2T","2015-04-09 16:52:23Z","http://twitter.com/LincolnChafee/status/586210055906844672","[committee;presidential exploratory committee;today;exploratory committee]","[]","[]","[]","[]",81,97,16698,NA,12,"(Fmr.) Chafee, Lincoln (D) Presidential Campaign","Democrat","Male","False","Candidates > Presidential 2016","Undergraduate","Protestant","White","1953-03-26","55-64","[Arts, Entertainment, and Recreation]","","[Federal;Local;State]"
"259","51858713","Twitter","Looking forward to appearing on The Last Word with Lawrence O'Donnell after 10 tonight on MSNBC.","2015-04-10 00:34:06Z","http://twitter.com/LincolnChafee/status/586326251406761984","[tonight]","[]","[]","[]","[]",20,8,16698,NA,16,"(Fmr.) Chafee, Lincoln (D) Presidential Campaign","Democrat","Male","False","Candidates > Presidential 2016","Undergraduate","Protestant","White","1953-03-26","55-64","[Arts, Entertainment, and Recreation]","","[Federal;Local;State]"
"511","51858711","Twitter","RT @RT_America: #PoliticKing: @LincolnChafee says #Hillary isn't qualified to run for pres at 9 PM EST http://t.co/n52JEkE2rC ...","2015-04-14 23:02:57Z","http://twitter.com/LincolnChafee/status/588115251092127745","[#Hillary;est]","[]","[]","[]","[]",0,17,16698,NA,18,"(Fmr.) Chafee, Lincoln (D) Presidential Campaign","Democrat","Male","False","Candidates > Presidential 2016","Undergraduate","Protestant","White","1953-03-26","55-64","[Arts, Entertainment, and Recreation]","","[Federal;Local;State]"
"550","51858709","Twitter","Enjoyed appearing @NewDay With Chris Cuomo and John Berman http://t.co/XXd0f46u87","2015-04-16 12:19:13Z","http://twitter.com/LincolnChafee/status/588678026814193665","[]","[John Berman;Chris Cuomo]","[]","[]","[]",28,16,16698,NA,10,"(Fmr.) Chafee, Lincoln (D) Presidential Campaign","Democrat","Male","False","Candidates > Presidential 2016","Undergraduate","Protestant","White","1953-03-26","55-64","[Arts, Entertainment, and Recreation]","","[Federal;Local;State]"
"729","51858707","Twitter","RT @YahooNews: Lincoln Chafee’s 2016 run might matter more than you think http://t.co/S7gcuCO0oJ by @mattbai http://t.co/TQYep34Vnw","2015-04-23 17:50:36Z","http://twitter.com/LincolnChafee/status/591298138973024256","[run]","[]","[]","[]","[]",0,35,16698,NA,16,"(Fmr.) Chafee, Lincoln (D) Presidential Campaign","Democrat","Male","False","Candidates > Presidential 2016","Undergraduate","Protestant","White","1953-03-26","55-64","[Arts, Entertainment, and Recreation]","","[Federal;Local;State]"
"753","51858705","Twitter","With S Carolina Democratic Party Chair Jaime Harrison at the convention! http://t.co/YCGL1IqWjZ","2015-04-24 22:35:29Z","http://twitter.com/LincolnChafee/status/591732219686825984","[convention]","[Jaime Harrison]","[]","[Carolina]","[]",10,6,16698,NA,12,"(Fmr.) Chafee, Lincoln (D) Presidential Campaign","Democrat","Male","False","Candidates > Presidential 2016","Undergraduate","Protestant","White","1953-03-26","55-64","[Arts, Entertainment, and Recreation]","","[Federal;Local;State]"
"781","51858703","Twitter","Thank you South Carolina Democrats!  Looking forward to the ""first in the South"" primary! http://t.co/sJlCjh2AOa","2015-04-25 16:54:27Z","http://twitter.com/LincolnChafee/status/592008780969283584","[]","[]","[]","[South Carolina]","[]",18,8,16698,NA,15,"(Fmr.) Chafee, Lincoln (D) Presidential Campaign","Democrat","Male","False","Candidates > Presidential 2016","Undergraduate","Protestant","White","1953-03-26","55-64","[Arts, Entertainment, and Recreation]","","[Federal;Local;State]"
"895","51858701","Twitter","Hot Sauce and Politics at Clyburn Fish Fry - http://t.co/NCf5PyTLsY http://t.co/geRl6xyVEw","2015-04-29 21:07:09Z","http://twitter.com/LincolnChafee/status/593521926783442945","[sauce;fry;fish fry;hot sauce]","[]","[]","[]","[]",5,0,16698,NA,11,"(Fmr.) Chafee, Lincoln (D) Presidential Campaign","Democrat","Male","False","Candidates > Presidential 2016","Undergraduate","Protestant","White","1953-03-26","55-64","[Arts, Entertainment, and Recreation]","","[Federal;Local;State]"
"1021","51858699","Twitter","Meet The Political David To Hillary Clinton's Goliath - Forbes http://t.co/G9hcFpveyM","2015-05-04 12:37:30Z","http://twitter.com/LincolnChafee/status/595205609412263936","[]","[]","[]","[]","[]",11,17,16698,NA,11,"(Fmr.) Chafee, Lincoln (D) Presidential Campaign","Democrat","Male","False","Candidates > Presidential 2016","Undergraduate","Protestant","White","1953-03-26","55-64","[Arts, Entertainment, and Recreation]","","[Federal;Local;State]"
"1163","51858697","Twitter","Running start - http://t.co/MXttEjiTuv l News and information for Newport, Rhode Island: Off The Lip http://t.co/NYUoddhjVp","2015-05-06 15:00:07Z","http://twitter.com/LincolnChafee/status/595966275748233216","[start;lip]","[]","[]","[Rhode Island;Newport]","[]",5,2,16698,NA,16,"(Fmr.) Chafee, Lincoln (D) Presidential Campaign","Democrat","Male","False","Candidates > Presidential 2016","Undergraduate","Protestant","White","1953-03-26","55-64","[Arts, Entertainment, and Recreation]","","[Federal;Local;State]"
"1178","51858695","Twitter","The Blacksmith Who Just Might Become President of the United States http://t.co/tWO5PBIBwJ","2015-05-06 17:47:30Z","http://twitter.com/LincolnChafee/status/596008399843766272","[]","[]","[President of the United States]","[United States;The Blacksmith]","[]",2,5,16698,NA,12,"(Fmr.) Chafee, Lincoln (D) Presidential Campaign","Democrat","Male","False","Candidates > Presidential 2016","Undergraduate","Protestant","White","1953-03-26","55-64","[Arts, Entertainment, and Recreation]","","[Federal;Local;State]"
"1190","51858693","Twitter","George Will: Patrician blacksmith for president? http://t.co/Q2wi66D8ao","2015-05-06 21:27:18Z","http://twitter.com/LincolnChafee/status/596063715562287105","[patrician;blacksmith]","[]","[]","[]","[]",0,3,16698,NA,7,"(Fmr.) Chafee, Lincoln (D) Presidential Campaign","Democrat","Male","False","Candidates > Presidential 2016","Undergraduate","Protestant","White","1953-03-26","55-64","[Arts, Entertainment, and Recreation]","","[Federal;Local;State]"
"1195","51858691","Twitter","Meeting the New Hampshire media in Milford. http://t.co/ggP5ZsPXe7","2015-05-06 22:51:59Z","http://twitter.com/LincolnChafee/status/596085025034088448","[media]","[]","[]","[New Hampshire;Milford]","[]",7,0,16698,NA,8,"(Fmr.) Chafee, Lincoln (D) Presidential Campaign","Democrat","Male","False","Candidates > Presidential 2016","Undergraduate","Protestant","White","1953-03-26","55-64","[Arts, Entertainment, and Recreation]","","[Federal;Local;State]"
"1203","51858689","Twitter","Speaking with NH Democrats in Milford tonight. http://t.co/H5GI5dvUCi","2015-05-06 23:24:35Z","http://twitter.com/LincolnChafee/status/596093228081881088","[tonight]","[]","[]","[Milford]","[]",6,3,16698,NA,8,"(Fmr.) Chafee, Lincoln (D) Presidential Campaign","Democrat","Male","False","Candidates > Presidential 2016","Undergraduate","Protestant","White","1953-03-26","55-64","[Arts, Entertainment, and Recreation]","","[Federal;Local;State]"
"1207","51858687","Twitter","Governor Chafee discusses national issues with NH Democrats. http://t.co/2S1RLcNtGL","2015-05-07 00:35:49Z","http://twitter.com/LincolnChafee/status/596111154654642176","[issues;national issues]","[]","[]","[]","[]",9,3,16698,NA,9,"(Fmr.) Chafee, Lincoln (D) Presidential Campaign","Democrat","Male","False","Candidates > Presidential 2016","Undergraduate","Protestant","White","1953-03-26","55-64","[Arts, Entertainment, and Recreation]","","[Federal;Local;State]"
"1298","51858685","Twitter","RT @HBO: Tonight join @BillyCrystal @alexwagner @LincolnChafee @willcain and @ErinBrockovich for #RealTime with @BillMaher at 10PM on @HBO.","2015-05-08 22:19:21Z","http://twitter.com/LincolnChafee/status/596801587567198208","[#RealTime]","[]","[]","[]","[]",0,27,16698,NA,18,"(Fmr.) Chafee, Lincoln (D) Presidential Campaign","Democrat","Male","False","Candidates > Presidential 2016","Undergraduate","Protestant","White","1953-03-26","55-64","[Arts, Entertainment, and Recreation]","","[Federal;Local;State]"
"1311","51858683","Twitter","Looking forward to appearing on Real Time with Bill Maher. http://t.co/EZvmvMOAgx","2015-05-09 00:39:34Z","http://twitter.com/LincolnChafee/status/596836874338971648","[]","[Bill Maher]","[]","[]","[]",25,11,16698,NA,11,"(Fmr.) Chafee, Lincoln (D) Presidential Campaign","Democrat","Male","False","Candidates > Presidential 2016","Undergraduate","Protestant","White","1953-03-26","55-64","[Arts, Entertainment, and Recreation]","","[Federal;Local;State]"
"1850","51858681","Twitter","Share a link on Twitter https://t.co/976LhdG0bJ","2015-05-19 21:15:21Z","http://twitter.com/LincolnChafee/status/600771749723111425","[link;share]","[]","[]","[]","[]",0,0,16698,NA,6,"(Fmr.) Chafee, Lincoln (D) Presidential Campaign","Democrat","Male","False","Candidates > Presidential 2016","Undergraduate","Protestant","White","1953-03-26","55-64","[Arts, Entertainment, and Recreation]","","[Federal;Local;State]"
"1852","51858679","Twitter","RT @steinhauserNH1: .@LincolnChafee tells @NH1News he's more than 95% sure he'll run for '16 Dem nomination; will launch ""sometime before ...","2015-05-19 21:47:17Z","http://twitter.com/LincolnChafee/status/600779783648182272","[nomination;#nhpolitics]","[]","[]","[]","[]",0,17,16698,NA,21,"(Fmr.) Chafee, Lincoln (D) Presidential Campaign","Democrat","Male","False","Candidates > Presidential 2016","Undergraduate","Protestant","White","1953-03-26","55-64","[Arts, Entertainment, and Recreation]","","[Federal;Local;State]"
"1853","51858677","Twitter","RT @steinhauserNH1: .@LincolnChafee, asked if @HillaryClinton has too much baggage, tells @NH1News ""I think the American people look at it ...","2015-05-19 21:47:22Z","http://twitter.com/LincolnChafee/status/600779804988801026","[people;baggage;#nhpolitics;american people]","[]","[]","[]","[]",0,10,16698,NA,21,"(Fmr.) Chafee, Lincoln (D) Presidential Campaign","Democrat","Male","False","Candidates > Presidential 2016","Undergraduate","Protestant","White","1953-03-26","55-64","[Arts, Entertainment, and Recreation]","","[Federal;Local;State]"
