"","releaseId","ContentType","Title","Date","Url","Keywords","Names","Organizations","Places","AssignedCategories","FavoritesLikes","RetweetsShares","FollowersCount","CommentsCount","WordCount","Source","Party","Gender","IsCurrent","SourceType","EducationLevel","Religion","Race","DateOfBirth","AgeRange","Industry","Military","PriorPublicOffice"
"5022","52413035","Twitter","RT @omalleyfornh: Good morning NH! @GovernorOMalley talks w/ @bensarro about #NewLeadership at 8:40 on @WNTK997 listen here ...","2015-06-24 12:14:56Z","http://twitter.com/MartinOMalley/status/613681711973593088","[talks;morning;#nhpolitics;#newleadership]","[]","[]","[]","[]",0,5,75761,NA,18,"O'Malley, Martin (D) Presidential Campaign","Democrat","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1963-01-18","45-54","[Law]","","[Local;State]"
"5074","52380639","Twitter","I’m inviting every interested Iowan to join me for a discussion this Sunday. RSVP today: https://t.co/qfgG0X2yBW #OMalley2016","2015-06-24 16:42:22Z","http://twitter.com/MartinOMalley/status/613749013515501568","[rsvp;rsvp today;iowan;#OMalley2016]","[]","[RSVP]","[]","[]",13,10,75729,NA,17,"O'Malley, Martin (D) Presidential Campaign","Democrat","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1963-01-18","45-54","[Law]","","[Local;State]"
"5078","52382135","Twitter",".@SenatorLeahy & @repjohnlewis are showing incredible leadership with their legislation to #RestoreTheVRA. I hope this passes swiftly.","2015-06-24 17:07:04Z","http://twitter.com/MartinOMalley/status/613755227934695424","[legislation;leadership;incredible leadership;#RestoreTheVRA]","[]","[]","[]","[]",19,24,75728,NA,17,"O'Malley, Martin (D) Presidential Campaign","Democrat","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1963-01-18","45-54","[Law]","","[Local;State]"
"5087","52386927","Twitter","As we await SCOTUS decisions on marriage equality, join us & support #pridemonth by updating your profile picture! http://t.co/EurZd5TYja","2015-06-24 18:28:19Z","http://twitter.com/MartinOMalley/status/613775677519732736","[marriage;marriage equality;#PrideMonth;scotus;scotus decisions]","[]","[]","[]","[]",48,15,75731,NA,19,"O'Malley, Martin (D) Presidential Campaign","Democrat","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1963-01-18","45-54","[Law]","","[Local;State]"
"5107","52394245","Twitter","RT @afreedman23: @SCohen22 laying the groundwork in Cedar Rapids for @MartinOMalley #OMalley2016 #iacaucus http://t.co/VUYU1HQrJ1","2015-06-24 20:37:30Z","http://twitter.com/MartinOMalley/status/613808189155311616","[groundwork;#iacaucus;#OMalley2016]","[]","[]","[Cedar Rapids]","[]",0,8,75737,NA,14,"O'Malley, Martin (D) Presidential Campaign","Democrat","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1963-01-18","45-54","[Law]","","[Local;State]"
"5213","52422001","Twitter","Congrats to @steelworkers who won better health & safety protections. This kind of victory is what unions are about: http://t.co/yhq8EQV2jA","2015-06-25 12:26:44Z","http://twitter.com/MartinOMalley/status/614047071675531264","[victory;safety protections;better health;congrats]","[]","[]","[]","[Organised Labor]",34,23,75773,NA,20,"O'Malley, Martin (D) Presidential Campaign","Democrat","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1963-01-18","45-54","[Law]","","[Local;State]"
"5247","52430943","Twitter","Now that this ideological attempt to stop #ACA failed, we must redouble our efforts to bring health care to every person in this nation.","2015-06-25 14:50:25Z","http://twitter.com/MartinOMalley/status/614083229130326016","[health care;care;attempt;ideological attempt;#ACA]","[]","[]","[]","[]",150,108,75794,NA,24,"O'Malley, Martin (D) Presidential Campaign","Democrat","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1963-01-18","45-54","[Law]","","[Local;State]"
"5254","52432233","Twitter","The Affordable Care Act has helped more than 17 million Americans access quality and affordable health coverage. #ACAworks #KingvBurwell","2015-06-25 15:05:35Z","http://twitter.com/MartinOMalley/status/614087045733064704","[quality;coverage;health coverage;affordable health;affordable health coverage;#ACAworks;#KingvBurwell]","[]","[]","[]","[]",73,59,75796,NA,19,"O'Malley, Martin (D) Presidential Campaign","Democrat","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1963-01-18","45-54","[Law]","","[Local;State]"
"5265","52434623","Twitter","Today's Fair Housing decision is an important win for justice and opportunity in our cities & communities. #SCOTUS #judgesmatter","2015-06-25 15:39:00Z","http://twitter.com/MartinOMalley/status/614095457204215808","[decision;#SCOTUS;justice]","[]","[]","[]","[Government Housing Services]",39,30,75794,NA,19,"O'Malley, Martin (D) Presidential Campaign","Democrat","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1963-01-18","45-54","[Law]","","[Local;State]"
"5277","52440317","Twitter","RT @dougslogic: Greg Margida from Grinnell signing a commit to caucus card for @MartinOMalley #OMalley2016 #iacaucus http://t.co/bsBlTpT0nw","2015-06-25 16:56:11Z","http://twitter.com/MartinOMalley/status/614114879952318464","[card;caucus;#iacaucus;#OMalley2016]","[]","[]","[Grinnell]","[]",0,10,75815,NA,17,"O'Malley, Martin (D) Presidential Campaign","Democrat","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1963-01-18","45-54","[Law]","","[Local;State]"
"5368","52476607","Twitter","Thanks @TrumanProject for having me—honored to speak on U.S. foreign policy, national security, & America’s role in the world. #trucon15","2015-06-26 13:02:17Z","http://twitter.com/MartinOMalley/status/614418403789508608","[role;foreign policy;national security;#TruCon15]","[]","[]","[]","[Foreign Policy;National Security]",8,11,75920,NA,20,"O'Malley, Martin (D) Presidential Campaign","Democrat","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1963-01-18","45-54","[Law]","","[Local;State]"
"5370","52476933","Twitter","RT @AlexandraIToma: .@MartinOMalley: #ForeignPolicy based on #collaboration. Yes, sir. #TruCon15 http://t.co/BbLxH49uYS","2015-06-26 13:08:57Z","http://twitter.com/MartinOMalley/status/614420081406275585","[#foreignpolicy;#Collaboration;#ForeignPolicy;#TruCon15]","[]","[]","[]","[]",0,7,75920,NA,11,"O'Malley, Martin (D) Presidential Campaign","Democrat","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1963-01-18","45-54","[Law]","","[Local;State]"
"5371","52477009","Twitter","RT @TrumanProject: ""We must ask the right questions: how do we balance the use of our military, diplomatic, and economic tools?"" - ...","2015-06-26 13:10:27Z","http://twitter.com/MartinOMalley/status/614420457899560961","[questions;tools;economic tools;#TruCon15]","[]","[]","[]","[]",0,7,75922,NA,23,"O'Malley, Martin (D) Presidential Campaign","Democrat","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1963-01-18","45-54","[Law]","","[Local;State]"
"5372","52477013","Twitter","We must create a more far-sighted & proactive foreign policy—based on engagement and collaboration, rather than going it alone. #TruCon15","2015-06-26 13:10:37Z","http://twitter.com/MartinOMalley/status/614420499796520960","[foreign policy;collaboration;engagement;proactive foreign policy;#TruCon15]","[]","[]","[]","[Foreign Policy]",9,11,75922,NA,20,"O'Malley, Martin (D) Presidential Campaign","Democrat","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1963-01-18","45-54","[Law]","","[Local;State]"
"5374","52477123","Twitter","Comprehensive immigration reform is both an economic and national security imperative. #TruCon15","2015-06-26 13:13:19Z","http://twitter.com/MartinOMalley/status/614421181077299200","[immigration;reform;immigration reform;national security;#TruCon15]","[]","[]","[]","[Immigration Policies;National Security]",17,19,75925,NA,12,"O'Malley, Martin (D) Presidential Campaign","Democrat","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1963-01-18","45-54","[Law]","","[Local;State]"
"5376","52477173","Twitter","RT @Jon_Scanlon: .@MartinOMalley: wants 100% clean energy production in US by 2050 #TruCon15","2015-06-26 13:14:18Z","http://twitter.com/MartinOMalley/status/614421426054033409","[energy;production;clean energy;energy production;clean energy production;#TruCon15]","[]","[]","[]","[Energy;Energy Production]",0,16,75927,NA,13,"O'Malley, Martin (D) Presidential Campaign","Democrat","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1963-01-18","45-54","[Law]","","[Local;State]"
