"","releaseId","ContentType","Title","Date","Url","Keywords","Names","Organizations","Places","AssignedCategories","FavoritesLikes","RetweetsShares","FollowersCount","CommentsCount","WordCount","Source","Party","Gender","IsCurrent","SourceType","EducationLevel","Religion","Race","DateOfBirth","AgeRange","Industry","Military","PriorPublicOffice"
"2372","51836867","Twitter","RT @tuckahoetommy: So proud to be with @GovernorPataki in Exeter NH as he takes important step for our Country's future. Great campaigner. ...","2015-05-28 00:40:52Z","http://twitter.com/GovernorPataki/status/603722571884961792","[step;campaigner;important step;great campaigner]","[]","[]","[Exeter]","[]",0,5,41771,NA,23,"(Fmr.) Pataki, George (R) Presidential Campaign","Republican","Male","False","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1945-06-24","Over 65","[Law]","","[Local;State]"
"2373","51836865","Twitter","RT @AndrewTheGOP: Looks like @GovernorPataki is getting ready for something big tomorrow. http://t.co/k4U7lIEdo5","2015-05-28 00:41:02Z","http://twitter.com/GovernorPataki/status/603722613874171905","[tomorrow]","[]","[]","[]","[]",0,13,41771,NA,13,"(Fmr.) Pataki, George (R) Presidential Campaign","Republican","Male","False","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1945-06-24","Over 65","[Law]","","[Local;State]"
"2374","51836863","Twitter","RT @CapitalTonight: Tune in to #TWCNews tomorrow at 11 a.m. as we carry @GovernorPataki's announcement LIVE from New Hampshire","2015-05-28 00:41:08Z","http://twitter.com/GovernorPataki/status/603722640877088768","[announcement;tune;#TWCNews]","[]","[]","[New Hampshire]","[]",0,6,41771,NA,19,"(Fmr.) Pataki, George (R) Presidential Campaign","Republican","Male","False","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1945-06-24","Over 65","[Law]","","[Local;State]"
"2395","51836861","Twitter","RT @bbretonwindham: Team @GovernorPataki  ""in it to win it "" big day tomorrow #nhpolitics #fitn @JamesPindell http://t.co/qgEC2gaX2E","2015-05-28 03:45:22Z","http://twitter.com/GovernorPataki/status/603769003841028096","[day;tomorrow;day tomorrow;#FITN;#nhpolitics]","[]","[]","[]","[]",0,4,41771,NA,17,"(Fmr.) Pataki, George (R) Presidential Campaign","Republican","Male","False","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1945-06-24","Over 65","[Law]","","[Local;State]"
"2396","51836859","Twitter","RT @steinhauserNH1: This time around, @GovernorPataki isn't kidding around about running for the White House http://t.co/fr7cEpq1AK ...","2015-05-28 03:46:56Z","http://twitter.com/GovernorPataki/status/603769395605807104","[#FITN;#nhpolitics]","[]","[]","[]","[]",0,4,41771,NA,17,"(Fmr.) Pataki, George (R) Presidential Campaign","Republican","Male","False","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1945-06-24","Over 65","[Law]","","[Local;State]"
"2397","51836857","Twitter","RT @NH1News: Now on http://t.co/3sTH9lrBUn: Steinhauser: This time, Pataki's not kidding around about running for t http://t.co/vPwI7E3jiQ ...","2015-05-28 04:11:30Z","http://twitter.com/GovernorPataki/status/603775579272388608","[#NH1News]","[]","[]","[Steinhauser]","[]",0,7,41771,NA,18,"(Fmr.) Pataki, George (R) Presidential Campaign","Republican","Male","False","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1945-06-24","Over 65","[Law]","","[Local;State]"
"2398","51836855","Twitter","RT @briantaff6abc: Spent years covering @GovernorPataki in NY...tmw he appears primed to announce White House run. Interesting primary ...","2015-05-28 04:11:58Z","http://twitter.com/GovernorPataki/status/603775696876503040","[run;tmw]","[]","[]","[]","[]",0,8,41771,NA,19,"(Fmr.) Pataki, George (R) Presidential Campaign","Republican","Male","False","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1945-06-24","Over 65","[Law]","","[Local;State]"
"2416","51836853","Twitter","RT @AlwaysActions: Former New York Gov. George #Pataki confirms run for president in this video @CBSNewYork http://t.co/kGkCdnjKl5 ...","2015-05-28 13:03:26Z","http://twitter.com/GovernorPataki/status/603909446205571072","[video;run;#Pataki;run for president]","[]","[]","[New York]","[]",0,52,41771,NA,18,"(Fmr.) Pataki, George (R) Presidential Campaign","Republican","Male","False","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1945-06-24","Over 65","[Law]","","[Local;State]"
"2433","51836851","Twitter","Going live with @BillHemmer and @FoxNews in just a few minutes http://t.co/ULjOaPbkfc","2015-05-28 13:57:18Z","http://twitter.com/GovernorPataki/status/603923001285996545","[minutes]","[]","[]","[]","[]",24,12,41771,NA,12,"(Fmr.) Pataki, George (R) Presidential Campaign","Republican","Male","False","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1945-06-24","Over 65","[Law]","","[Local;State]"
"2448","51836849","Twitter","A couple of future voters http://t.co/HGIfpDzKYG","2015-05-28 14:08:37Z","http://twitter.com/GovernorPataki/status/603925850594086913","[couple;voters;future voters]","[]","[]","[]","[]",17,4,41771,NA,6,"(Fmr.) Pataki, George (R) Presidential Campaign","Republican","Male","False","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1945-06-24","Over 65","[Law]","","[Local;State]"
