"","releaseId","ContentType","Title","Date","Url","Keywords","Names","Organizations","Places","AssignedCategories","FavoritesLikes","RetweetsShares","FollowersCount","CommentsCount","WordCount","Source","Party","Gender","IsCurrent","SourceType","EducationLevel","Religion","Race","DateOfBirth","AgeRange","Industry","Military","PriorPublicOffice"
"101","48648717","Twitter","Its a great day to be in Kentucky! Following our special event, I will join @seanhannity for an entire hour on @FoxNews at 10:00pm EST.","2015-04-07 10:56:06Z","http://twitter.com/RandPaul/status/585395619482640384","[event;special event;hour;entire hour]","[]","[]","[Kentucky]","[]",467,618,562902,NA,25,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"102","48652821","Twitter","<3hours . More at http://t.co/lpzLQBXXC5 http://t.co/g931Ruhzhq","2015-04-07 13:18:48Z","http://twitter.com/RandPaul/status/585431531788697601","[]","[]","[]","[]","[]",511,3488,563347,NA,6,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"103","48652933","Twitter","We will be live streaming today's speech. I will answer questions after  from this Facebook post so leave yours: https://t.co/8I7BSSiBfS","2015-04-07 13:22:03Z","http://twitter.com/RandPaul/status/585432348168036352","[speech;streaming;live streaming]","[]","[]","[]","[]",236,530,563368,NA,20,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"104","48653781","Twitter","This is your campaign. Here's a link to our logo for graphic designers across the country to use>>> https://t.co/58EOcNC99n #rand2016","2015-04-07 13:44:48Z","http://twitter.com/RandPaul/status/585438075460820995","[logo;designers;graphic designers;#Rand2016]","[]","[]","[]","[]",254,325,563593,NA,20,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"106","48656215","Twitter","Will you join us in showing support from across the country? Print this out and use #standwithrand tweet back photo  https://t.co/pT9IpZTGBo","2015-04-07 14:37:50Z","http://twitter.com/RandPaul/status/585451421866201088","[photo;tweet;#StandWithRand]","[]","[]","[]","[]",321,354,564295,NA,21,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"107","48656293","Twitter","Show your support today! Print this off and tweet a photo of yourself using #standwithrand https://t.co/pT9IpZTGBo","2015-04-07 14:39:15Z","http://twitter.com/RandPaul/status/585451776922386433","[photo;support;support today;#StandWithRand]","[]","[]","[]","[]",336,309,564313,NA,16,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"109","48657477","Twitter","Join in from home today! Tweet a selfie with this printed off using #StandWithRand>>> https://t.co/pT9IpZC5JQ","2015-04-07 15:00:30Z","http://twitter.com/RandPaul/status/585457125343768576","[home;home today;#StandWithRand;selfie]","[]","[]","[]","[]",167,434,564541,NA,15,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"110","48657921","Twitter","RT @johnniemikel: Standing with Rand in Louisville today.","2015-04-07 15:07:11Z","http://twitter.com/RandPaul/status/585458807175716868","[today]","[]","[]","[Louisville]","[]",0,48,564618,NA,8,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"111","48657983","Twitter","RT @zzcrane: I #StandWithRand. http://t.co/6y0HXauKQS","2015-04-07 15:08:30Z","http://twitter.com/RandPaul/status/585459139540713473","[#StandWithRand]","[]","[]","[]","[]",0,26,564631,NA,5,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"112","48658073","Twitter","RT @lindsratt: I #StandWithRand! http://t.co/fq1bwJcNyu","2015-04-07 15:10:09Z","http://twitter.com/RandPaul/status/585459552847466497","[#StandWithRand]","[]","[]","[]","[]",0,27,564640,NA,5,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"113","48658153","Twitter","Enjoying the photos coming in! Keep them coming by printing this off and uploading with #standwithrand >>>https://t.co/pT9IpZTGBo","2015-04-07 15:11:45Z","http://twitter.com/RandPaul/status/585459957497114624","[photos;#StandWithRand]","[]","[]","[]","[]",164,252,564648,NA,16,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"114","48658339","Twitter","RT @jeffwrightjr: @RandPaul #standwithrand http://t.co/C6CJFH4HLZ","2015-04-07 15:15:24Z","http://twitter.com/RandPaul/status/585460874728624128","[#StandWithRand]","[]","[]","[]","[]",0,13,564671,NA,5,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"115","48659257","Twitter","Watch Live >>> http://t.co/ihlYYfP9wp","2015-04-07 15:29:32Z","http://twitter.com/RandPaul/status/585464430785236992","[]","[]","[]","[]","[]",201,346,564805,NA,3,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"116","48659407","Twitter","RT @AaronHorak: @RandPaul I #StandWithRand So should You! #PresidentPaul #RandPaul #RandPaul2016 http://t.co/ZzyKVKCr5W","2015-04-07 15:31:33Z","http://twitter.com/RandPaul/status/585464939701231617","[#RandPaul;#StandWithRand;#RandPaul2016]","[]","[]","[]","[]",0,35,564820,NA,12,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"117","48660035","Twitter","Live stream is up at http://t.co/lpzLQBXXC5","2015-04-07 15:42:16Z","http://twitter.com/RandPaul/status/585467633983627264","[stream]","[]","[]","[]","[]",177,285,564917,NA,6,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"118","48660759","Twitter","RT @PyperProblems: I #StandWithRand because I stand for liberty. @RandPaul http://t.co/GrQYdXvH8B","2015-04-07 15:54:08Z","http://twitter.com/RandPaul/status/585470623096406016","[liberty;#StandWithRand]","[]","[]","[]","[]",0,83,565045,NA,11,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"119","48660825","Twitter","RT @zatchoninternet: GOP? More like the Rand Old Party. I'm with you @RandPaul #StandWithRand http://t.co/iOtM4m7DO3","2015-04-07 15:55:27Z","http://twitter.com/RandPaul/status/585470954354171904","[#StandWithRand]","[]","[]","[]","[]",0,51,565051,NA,15,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"120","48661163","Twitter","RT @ericbolling: Congrats to Senator Rand Paul and his awesome family. Running for President is a family affair. Best wishes Senator.","2015-04-07 16:00:43Z","http://twitter.com/RandPaul/status/585472280756629504","[family;family affair;awesome family;congrats]","[]","[]","[]","[]",0,151,565107,NA,21,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"121","48661491","Twitter","Watching backstage http://t.co/dzNaLUkK5k","2015-04-07 16:05:08Z","http://twitter.com/RandPaul/status/585473389202137089","[]","[]","[]","[]","[]",411,257,565163,NA,3,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"122","48661699","Twitter","Watch online right now at http://t.co/lpzLQBXXC5","2015-04-07 16:08:38Z","http://twitter.com/RandPaul/status/585474270362370048","[]","[]","[]","[]","[]",330,243,565214,NA,6,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"123","48663465","Twitter","http://t.co/ihlYYfxyER http://t.co/ELN5xZptRS","2015-04-07 16:28:18Z","http://twitter.com/RandPaul/status/585479221448937472","[]","[]","[]","[]","[]",526,3310,565498,NA,2,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"124","48664303","Twitter","http://t.co/ihlYYfxyER http://t.co/CEld8tfwOt","2015-04-07 16:35:42Z","http://twitter.com/RandPaul/status/585481084089065474","[]","[]","[]","[]","[]",1181,4074,565655,NA,2,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"125","48664925","Twitter","http://t.co/ihlYYfxyER http://t.co/hEKnofxrM4","2015-04-07 16:44:36Z","http://twitter.com/RandPaul/status/585483320802304002","[]","[]","[]","[]","[]",659,1513,565920,NA,2,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"126","48664927","Twitter","The enemy is radical Islam.","2015-04-07 16:44:37Z","http://twitter.com/RandPaul/status/585483327068577793","[enemy]","[]","[]","[]","[]",994,1067,565921,NA,5,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
"127","48665031","Twitter","Any deal between the U.S. and Iran should be approved by Congress!","2015-04-07 16:46:50Z","http://twitter.com/RandPaul/status/585483886139936769","[deal]","[]","[]","[Iran]","[]",989,597,565985,NA,12,"Sen. Paul, Rand - (R – KY) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","White","1963-01-07","45-54","[Health Care - Physician]","","[Federal]"
