"","releaseId","ContentType","Title","Date","Url","Keywords","Names","Organizations","Places","AssignedCategories","FavoritesLikes","RetweetsShares","FollowersCount","CommentsCount","WordCount","Source","Party","Gender","IsCurrent","SourceType","EducationLevel","Religion","Race","DateOfBirth","AgeRange","Industry","Military","PriorPublicOffice"
"3124","51838541","Twitter","RT @EWErickson: @AnitaPerryTX Thank you very much.  Have a great day tomorrow.  Wish I could be there.","2015-06-04 02:06:11Z","http://twitter.com/GovernorPerry/status/606280757611397121","[day;tomorrow;great day;day tomorrow;great day tomorrow]","[]","[]","[]","[]",0,9,293013,NA,17,"(Fmr.) Perry, Rick (R) Presidential Campaign","Republican","Male","False","Candidates > Presidential 2016","Undergraduate","Protestant","White","1950-03-04","Over 65","[Agriculture, Forestry, Fishing and Hunting]","[Air Force]","[State]"
"3133","51838539","Twitter","RT @TeamRickPerry: ICYMI: @GovernorPerry is on @snapchat! Be sure to follow him & today’s ""major announcement"" by adding this code. ...","2015-06-04 13:12:45Z","http://twitter.com/GovernorPerry/status/606448506501406720","[announcement;major announcement;icymi]","[]","[]","[]","[]",0,55,293013,NA,21,"(Fmr.) Perry, Rick (R) Presidential Campaign","Republican","Male","False","Candidates > Presidential 2016","Undergraduate","Protestant","White","1950-03-04","Over 65","[Agriculture, Forestry, Fishing and Hunting]","[Air Force]","[State]"
"3135","51838537","Twitter","Woke up this morning feeling optimistic about the future of the country & the role our family can play moving forward.","2015-06-04 13:19:47Z","http://twitter.com/GovernorPerry/status/606450274857664513","[feeling;morning;morning feeling]","[]","[]","[]","[]",479,305,293013,NA,21,"(Fmr.) Perry, Rick (R) Presidential Campaign","Republican","Male","False","Candidates > Presidential 2016","Undergraduate","Protestant","White","1950-03-04","Over 65","[Agriculture, Forestry, Fishing and Hunting]","[Air Force]","[State]"
"3147","51838535","Twitter",".@granitewinger Thanks, I appreciate you and your friendship!","2015-06-04 15:12:34Z","http://twitter.com/GovernorPerry/status/606478657297653760","[friendship]","[]","[]","[]","[]",41,12,293013,NA,8,"(Fmr.) Perry, Rick (R) Presidential Campaign","Republican","Male","False","Candidates > Presidential 2016","Undergraduate","Protestant","White","1950-03-04","Over 65","[Agriculture, Forestry, Fishing and Hunting]","[Air Force]","[State]"
"3149","51838533","Twitter","RT @AnitaPerryTX: Before we hit the stage, meet my beautiful granddaughter Piper. http://t.co/EgxK37MOiZ","2015-06-04 16:08:04Z","http://twitter.com/GovernorPerry/status/606492626209009664","[stage;granddaughter;beautiful granddaughter]","[]","[]","[]","[]",0,102,293013,NA,13,"(Fmr.) Perry, Rick (R) Presidential Campaign","Republican","Male","False","Candidates > Presidential 2016","Undergraduate","Protestant","White","1950-03-04","Over 65","[Agriculture, Forestry, Fishing and Hunting]","[Air Force]","[State]"
"3153","51838531","Twitter",".@AnitaPerryTX and I take the stage for our announcement today any moment now. Tune in LIVE here: http://t.co/vxW5dlh42t #Perry2016","2015-06-04 16:30:44Z","http://twitter.com/GovernorPerry/status/606498327799066625","[stage;tune;announcement today;#Perry2016]","[]","[]","[]","[]",91,60,293013,NA,19,"(Fmr.) Perry, Rick (R) Presidential Campaign","Republican","Male","False","Candidates > Presidential 2016","Undergraduate","Protestant","White","1950-03-04","Over 65","[Agriculture, Forestry, Fishing and Hunting]","[Air Force]","[State]"
"3154","51838529","Twitter","Backstage before my big announcement. #Perry2016 http://t.co/dMyaRbu5zM","2015-06-04 16:33:58Z","http://twitter.com/GovernorPerry/status/606499144312553472","[announcement;backstage;#Perry2016]","[]","[]","[]","[]",368,318,293013,NA,7,"(Fmr.) Perry, Rick (R) Presidential Campaign","Republican","Male","False","Candidates > Presidential 2016","Undergraduate","Protestant","White","1950-03-04","Over 65","[Agriculture, Forestry, Fishing and Hunting]","[Air Force]","[State]"
"3173","51838527","Twitter","Humbled by support from @marcusluttrell, @petescobell, @tayakyle and #MOH winner Mike Thornton as I shared my vision for America. #Perry2016","2015-06-04 18:57:57Z","http://twitter.com/GovernorPerry/status/606535378678497282","[vision;winner;#MOH;#Perry2016]","[Mike Thornton]","[]","[America]","[]",344,218,293013,NA,20,"(Fmr.) Perry, Rick (R) Presidential Campaign","Republican","Male","False","Candidates > Presidential 2016","Undergraduate","Protestant","White","1950-03-04","Over 65","[Agriculture, Forestry, Fishing and Hunting]","[Air Force]","[State]"
"3174","51838525","Twitter","Thank you @seanhannity for coming to Dallas. Tune in to @foxnews tonight for the interview. #Perry2016 http://t.co/Yt5bf1PN9D","2015-06-04 19:15:04Z","http://twitter.com/GovernorPerry/status/606539684487905280","[interview;tune;#Perry2016]","[]","[]","[Dallas]","[]",247,152,293013,NA,17,"(Fmr.) Perry, Rick (R) Presidential Campaign","Republican","Male","False","Candidates > Presidential 2016","Undergraduate","Protestant","White","1950-03-04","Over 65","[Agriculture, Forestry, Fishing and Hunting]","[Air Force]","[State]"
"3227","51838523","Twitter","Started the day off right with @foxandfriends. #Perry2016 http://t.co/FfsbY4gXxT","2015-06-05 12:45:08Z","http://twitter.com/GovernorPerry/status/606803944254271488","[day;#Perry2016]","[]","[]","[]","[]",173,69,293013,NA,9,"(Fmr.) Perry, Rick (R) Presidential Campaign","Republican","Male","False","Candidates > Presidential 2016","Undergraduate","Protestant","White","1950-03-04","Over 65","[Agriculture, Forestry, Fishing and Hunting]","[Air Force]","[State]"
"3233","51838521","Twitter","RT @TeamRickPerry: Watch @GovernorPerry on @SquawkCNBC: http://t.co/RfIhMIQ23O #Perry2016  https://t.co/R4IJWzRpcH","2015-06-05 14:24:00Z","http://twitter.com/GovernorPerry/status/606828824571973632","[#Perry2016]","[]","[]","[]","[]",0,39,293013,NA,9,"(Fmr.) Perry, Rick (R) Presidential Campaign","Republican","Male","False","Candidates > Presidential 2016","Undergraduate","Protestant","White","1950-03-04","Over 65","[Agriculture, Forestry, Fishing and Hunting]","[Air Force]","[State]"
