"","releaseId","ContentType","Title","Date","Url","Keywords","Names","Organizations","Places","AssignedCategories","FavoritesLikes","RetweetsShares","FollowersCount","CommentsCount","WordCount","Source","Party","Gender","IsCurrent","SourceType","EducationLevel","Religion","Race","DateOfBirth","AgeRange","Industry","Military","PriorPublicOffice"
"2267","51844309","Twitter","Watch my special announcement LIVE Wednesday 5pmET at http://t.co/JuveTQa8Xw","2015-05-27 01:13:52Z","http://twitter.com/RickSantorum/status/603368490255396864","[announcement;special announcement]","[]","[]","[]","[]",67,102,232548,NA,9,"Santorum, Rick (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1958-05-10","55-64","[Law]","","[Federal;State]"
"2344","51844307","Twitter","RT @FoxNews: WATCH LIVE: @RickSantorum set to make 2016 presidential announcement. http://t.co/P32ZbaiJSr","2015-05-27 21:08:32Z","http://twitter.com/RickSantorum/status/603669136779141120","[announcement;presidential announcement]","[]","[]","[]","[]",0,58,232548,NA,12,"Santorum, Rick (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1958-05-10","55-64","[Law]","","[Federal;State]"
"2346","51844305","Twitter","Today I announce my candidacy for President of the United States!  Join me at http://t.co/zj89cNMaUY and let's take back America!","2015-05-27 21:19:55Z","http://twitter.com/RickSantorum/status/603671999953645569","[candidacy;today]","[]","[President of the United States]","[United States;America]","[]",217,290,232548,NA,20,"Santorum, Rick (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1958-05-10","55-64","[Law]","","[Federal;State]"
"2347","51844303","Twitter","Step 1 in taking back America: Let's scrap the corrupt tax code! http://t.co/zj89cNMaUY #TakeBackAmerica","2015-05-27 21:21:30Z","http://twitter.com/RickSantorum/status/603672401449250816","[tax;step;tax code;#TakeBackAmerica;corrupt tax]","[]","[]","[America]","[Taxation]",69,69,232548,NA,14,"Santorum, Rick (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1958-05-10","55-64","[Law]","","[Federal;State]"
"2348","51844301","Twitter","Day 1 we will work to bring back America and put Americans back to work. Join me at http://t.co/zj89cNMaUY","2015-05-27 21:23:51Z","http://twitter.com/RickSantorum/status/603672990061109248","[day]","[]","[]","[America]","[]",57,52,232548,NA,19,"Santorum, Rick (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1958-05-10","55-64","[Law]","","[Federal;State]"
"2349","51844299","Twitter","Their priority is profit and power, my priority is you!  #TakeBackAmerica","2015-05-27 21:25:06Z","http://twitter.com/RickSantorum/status/603673306399690753","[priority;profit;#TakeBackAmerica]","[]","[]","[]","[]",77,73,232548,NA,11,"Santorum, Rick (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1958-05-10","55-64","[Law]","","[Federal;State]"
"2350","51844297","Twitter","Help me put a stake in the heart of Common Core!  Join me at http://t.co/zj89cNMaUY","2015-05-27 21:27:10Z","http://twitter.com/RickSantorum/status/603673827168628736","[core;stake;common core]","[]","[]","[]","[]",100,77,232548,NA,15,"Santorum, Rick (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1958-05-10","55-64","[Law]","","[Federal;State]"
"2369","51844295","Twitter","Join us in restoring the American dream for hard working Americans #Rick2016 http://t.co/5D6il0WPQK","2015-05-27 23:54:08Z","http://twitter.com/RickSantorum/status/603710810058321920","[dream;american dream;#Rick2016]","[]","[]","[]","[]",69,69,232548,NA,13,"Santorum, Rick (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1958-05-10","55-64","[Law]","","[Federal;State]"
"2382","51844293","Twitter","Our movement is only as strong as our volunteers - get involved today! #Rick2016 http://t.co/5D6il0WPQK","2015-05-28 01:41:32Z","http://twitter.com/RickSantorum/status/603737841420611585","[volunteers;movement;#Rick2016]","[]","[]","[]","[]",53,50,232548,NA,15,"Santorum, Rick (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1958-05-10","55-64","[Law]","","[Federal;State]"
"2387","51844291","Twitter","I will be joining my friend @seanhannity in just a few minutes on @FoxNews  Tune in to see how together we can take back America!","2015-05-28 02:08:17Z","http://twitter.com/RickSantorum/status/603744570539700224","[minutes;friend]","[]","[]","[America]","[]",60,44,232548,NA,25,"Santorum, Rick (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1958-05-10","55-64","[Law]","","[Federal;State]"
"2401","51844289","Twitter","Tune in to Good Morning America this morning at 7am for my interview with @GStephanopoulos where I talk about how we'll take back America!","2015-05-28 10:43:24Z","http://twitter.com/RickSantorum/status/603874206141575169","[tune;morning]","[]","[]","[America]","[]",30,25,232548,NA,24,"Santorum, Rick (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1958-05-10","55-64","[Law]","","[Federal;State]"
"2403","51844287","Twitter","Looking forward to joining @foxandfriends at 7:45am today to talk about our plan to take back America! Join us at http://t.co/zj89cNMaUY","2015-05-28 11:19:52Z","http://twitter.com/RickSantorum/status/603883382473433089","[plan;today]","[]","[]","[America]","[]",53,41,232548,NA,21,"Santorum, Rick (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1958-05-10","55-64","[Law]","","[Federal;State]"
"2450","51844285","Twitter","Check out my op-ed in this morning's @DMRegister Join me in my fight for hard working families! http://t.co/DarW5DUA7x","2015-05-28 14:21:11Z","http://twitter.com/RickSantorum/status/603929011329306625","[families;fight]","[]","[]","[]","[]",30,49,232548,NA,18,"Santorum, Rick (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1958-05-10","55-64","[Law]","","[Federal;State]"
"2461","51844283","Twitter","RT @IngrahamAngle: Yesterday @RickSantorum was on fire.  ""He has the BEST economic msg"" said @JoeNBC today.  Scarborough is right.","2015-05-28 15:26:26Z","http://twitter.com/RickSantorum/status/603945433505882112","[yesterday;msg]","[]","[]","[]","[]",0,110,232548,NA,19,"Santorum, Rick (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1958-05-10","55-64","[Law]","","[Federal;State]"
"2480","51844281","Twitter","Looking forward to joining my friend @seanhannity tonight on his radio show at 5pm ET. Join us at http://t.co/zj89cNMaUY","2015-05-28 18:42:57Z","http://twitter.com/RickSantorum/status/603994885750919168","[tonight;radio]","[]","[]","[]","[]",30,40,232548,NA,19,"Santorum, Rick (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1958-05-10","55-64","[Law]","","[Federal;State]"
"2496","51844279","Twitter","LIVE on #Periscope: My first event of 2016 is in Davenport, Iowa https://t.co/O6wpnyJs3a","2015-05-28 20:14:27Z","http://twitter.com/RickSantorum/status/604017912869994497","[event;first event;#periscope]","[]","[]","[Iowa]","[]",17,25,232548,NA,13,"Santorum, Rick (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1958-05-10","55-64","[Law]","","[Federal;State]"
"2497","51844277","Twitter","It's great to be back in Iowa and it's great to be at the Original Machine Shed in Davenport!  #Rick2016 http://t.co/2vom6ablhX","2015-05-28 20:19:44Z","http://twitter.com/RickSantorum/status/604019243974283264","[machine;#Rick2016]","[]","[]","[Iowa]","[]",41,35,232548,NA,21,"Santorum, Rick (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1958-05-10","55-64","[Law]","","[Federal;State]"
"2498","51844275","Twitter","|LIVE NOW| Starting the campaign with my first stop in Davenport, Iowa #meerkat http://t.co/LDRui19HaU","2015-05-28 20:21:32Z","http://twitter.com/RickSantorum/status/604019695948304385","[campaign;stop;first stop;#meerkat]","[]","[]","[Iowa]","[]",38,32,232548,NA,14,"Santorum, Rick (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1958-05-10","55-64","[Law]","","[Federal;State]"
"2518","51844273","Twitter","Always good to enjoy a milkshake from Whitey's in Davenport, Iowa! http://t.co/wsvJBDQJka","2015-05-28 23:19:22Z","http://twitter.com/RickSantorum/status/604064451860525058","[milkshake]","[]","[]","[Iowa]","[]",81,46,232548,NA,12,"Santorum, Rick (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1958-05-10","55-64","[Law]","","[Federal;State]"
"2520","51844271","Twitter","Looking forward to joining @megynkelly tonight on @FoxNews at 9:30pm ET live from Des Moines. Be sure to tune in! #Rick2016 #iacaucus","2015-05-28 23:40:03Z","http://twitter.com/RickSantorum/status/604069653648928768","[#iacaucus;#Rick2016]","[]","[]","[Des Moines]","[]",33,42,232548,NA,22,"Santorum, Rick (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1958-05-10","55-64","[Law]","","[Federal;State]"
"2521","51844269","Twitter","Joining the @LarsLarsonShow at 8pm ET to talk about our plan to take back America!  Go to http://t.co/zj89cNMaUY to learn how you can help!","2015-05-28 23:54:41Z","http://twitter.com/RickSantorum/status/604073338068168704","[plan]","[]","[]","[America]","[]",18,14,232548,NA,24,"Santorum, Rick (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1958-05-10","55-64","[Law]","","[Federal;State]"
"2523","51844267","Twitter","Tune in at 8:30pm ET as I join The Great One @marklevinshow to talk about our plan to take back America for hardworking families! #Rick2016","2015-05-28 23:56:26Z","http://twitter.com/RickSantorum/status/604073780080701440","[plan;tune;#Rick2016]","[]","[]","[America]","[]",27,24,232548,NA,25,"Santorum, Rick (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1958-05-10","55-64","[Law]","","[Federal;State]"
"2534","51844265","Twitter","About to join my friend @JoeNBC and the Morning Joe team to talk about our plan to take back America!  Join us at http://t.co/zj89cNMaUY","2015-05-29 11:14:53Z","http://twitter.com/RickSantorum/status/604244517634576384","[friend;morning]","[]","[]","[America]","[]",22,21,232548,NA,24,"Santorum, Rick (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1958-05-10","55-64","[Law]","","[Federal;State]"
"2537","51844263","Twitter","Joining CNN New Day at 8:05am ET. Be sure to tune in to hear about our plan to take back America. Help us at http://t.co/zj89cNMaUY","2015-05-29 11:56:17Z","http://twitter.com/RickSantorum/status/604254934205403136","[plan]","[]","[]","[America]","[]",15,20,232548,NA,25,"Santorum, Rick (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1958-05-10","55-64","[Law]","","[Federal;State]"
"2540","51844261","Twitter","|LIVE NOW| Business round table in Council Bluffs, Iowa  #meerkat http://t.co/SWflLkK92j","2015-05-29 13:13:34Z","http://twitter.com/RickSantorum/status/604274383394209792","[table;round;round table;#meerkat]","[]","[]","[Iowa;Council Bluffs]","[]",11,12,232548,NA,11,"Santorum, Rick (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1958-05-10","55-64","[Law]","","[Federal;State]"
"2541","51844259","Twitter","|LIVE NOW| Business round table in Council Bluffs, Iowa #meerkat http://t.co/WqmZE1C0je","2015-05-29 13:14:07Z","http://twitter.com/RickSantorum/status/604274522653503488","[table;round;round table;#meerkat]","[]","[]","[Iowa;Council Bluffs]","[]",20,19,232548,NA,11,"Santorum, Rick (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1958-05-10","55-64","[Law]","","[Federal;State]"
"2543","51844257","Twitter","Great economic roundtable discussion this morning in Council Bluffs with not just business owners, but employees too! http://t.co/gCdc7adyiQ","2015-05-29 13:18:23Z","http://twitter.com/RickSantorum/status/604275595938254849","[roundtable;economic roundtable;owners;roundtable discussion;economic roundtable discussion]","[]","[]","[Council Bluffs]","[]",33,43,232548,NA,18,"Santorum, Rick (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1958-05-10","55-64","[Law]","","[Federal;State]"
"2590","51844255","Twitter","I'll be joining @TeamCavuto today at 4:30pm ET to talk about our plan to confront and defeat ISIS!  Join the fight at http://t.co/zj89cNMaUY","2015-05-29 19:17:03Z","http://twitter.com/RickSantorum/status/604365856320135168","[fight;plan]","[]","[]","[]","[]",28,28,232548,NA,23,"Santorum, Rick (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1958-05-10","55-64","[Law]","","[Federal;State]"
"2685","51844253","Twitter","|LIVE NOW| Made in America in Florence,SC #meerkat http://t.co/Puf2aDGc8Y","2015-05-30 15:20:35Z","http://twitter.com/RickSantorum/status/604668734754725888","[#meerkat]","[]","[]","[America]","[]",9,10,232548,NA,9,"Santorum, Rick (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1958-05-10","55-64","[Law]","","[Federal;State]"
"2686","51844251","Twitter","|LIVE NOW| Made in America in Florence, SC #meerkat http://t.co/QGeLDg3el9","2015-05-30 15:24:19Z","http://twitter.com/RickSantorum/status/604669677013495808","[#meerkat]","[]","[]","[America]","[]",10,7,232548,NA,10,"Santorum, Rick (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1958-05-10","55-64","[Law]","","[Federal;State]"
"2687","51844249","Twitter","|LIVE NOW| Made in America in Florence, SC  #meerkat http://t.co/hTRbE6Sbs9","2015-05-30 15:29:10Z","http://twitter.com/RickSantorum/status/604670894066266112","[#meerkat]","[]","[]","[America]","[]",9,7,232548,NA,10,"Santorum, Rick (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1958-05-10","55-64","[Law]","","[Federal;State]"
"2688","51844247","Twitter","|LIVE NOW| Made in America in Florence, SC  #meerkat http://t.co/IQcRsy7qCb","2015-05-30 15:29:46Z","http://twitter.com/RickSantorum/status/604671047091273728","[#meerkat]","[]","[]","[America]","[]",13,9,232548,NA,10,"Santorum, Rick (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1958-05-10","55-64","[Law]","","[Federal;State]"
"2691","51844245","Twitter","LIVE on #Periscope: Made in America in Florence, SC  https://t.co/DxFypFk1UH","2015-05-30 16:02:18Z","http://twitter.com/RickSantorum/status/604679236255760384","[#periscope]","[]","[]","[America]","[]",12,26,232548,NA,10,"Santorum, Rick (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1958-05-10","55-64","[Law]","","[Federal;State]"
"2696","51844243","Twitter","Huge crowd at our first event in South Carolina today at the Southeastern Institute of Manufacturing & Technology! http://t.co/x5hXzpDvR0","2015-05-30 16:29:24Z","http://twitter.com/RickSantorum/status/604686052968820736","[event;crowd;huge crowd;first event]","[]","[]","[South Carolina]","[]",59,51,232548,NA,19,"Santorum, Rick (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1958-05-10","55-64","[Law]","","[Federal;State]"
"2717","51844241","Twitter","|LIVE NOW| Meeting with the people AND the press in Fort Mill, SC #meerkat http://t.co/A9iQ1W52Va","2015-05-30 19:57:47Z","http://twitter.com/RickSantorum/status/604738496276918272","[people;press;#meerkat]","[]","[]","[Fort Mill]","[]",13,21,232548,NA,15,"Santorum, Rick (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1958-05-10","55-64","[Law]","","[Federal;State]"
"2728","51844239","Twitter","LIVE on #Periscope: Beautiful day in South Carolina, taking questions from the people of Lancaster.  https://t.co/v3FQAwKKun","2015-05-30 21:52:43Z","http://twitter.com/RickSantorum/status/604767421082279936","[people;questions;beautiful day;#periscope]","[]","[]","[South Carolina;Lancaster]","[]",20,19,232548,NA,16,"Santorum, Rick (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1958-05-10","55-64","[Law]","","[Federal;State]"
"2729","51844237","Twitter","What a great crowd this afternoon in SC!  Filling the balconies!  You too can join our team at http://t.co/zj89cNMaUY http://t.co/asLO5Z4T9p","2015-05-30 22:06:01Z","http://twitter.com/RickSantorum/status/604770765360250880","[crowd;balconies;great crowd]","[]","[]","[]","[]",29,34,232548,NA,20,"Santorum, Rick (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1958-05-10","55-64","[Law]","","[Federal;State]"
"2733","51844235","Twitter","I will be joining @chucktodd and @meetthepress tomorrow morning. Tune in to hear me talk about our plan to take back America! #Rick2016","2015-05-30 22:50:12Z","http://twitter.com/RickSantorum/status/604781885559058434","[tune;tomorrow;tomorrow morning;#Rick2016]","[]","[]","[America]","[]",29,34,232548,NA,23,"Santorum, Rick (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1958-05-10","55-64","[Law]","","[Federal;State]"
"2735","51844233","Twitter","RT @meetthepress: This Sunday, a special #2016 episode of #MTP:  @BernieSanders, @RickSantorum, & @JohnKasich. #MeetTheCandidates ...","2015-05-30 22:52:15Z","http://twitter.com/RickSantorum/status/604782401361969153","[episode;#mtp;#2016]","[]","[]","[]","[]",0,67,232548,NA,16,"Santorum, Rick (R) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Roman Catholic","White","1958-05-10","55-64","[Law]","","[Federal;State]"
