"releaseId","ContentType","Title","Date","Url","Keywords","Names","Organizations","Places","AssignedCategories","FavoritesLikes","RetweetsShares","FollowersCount","CommentsCount","WordCount","Source","Party","Gender","IsCurrent","SourceType","EducationLevel","Religion","Race","DateOfBirth","AgeRange","Industry","Military","PriorPublicOffice"
"62520927","Columns, Articles, Op-Eds, Blogs","Texas Grassroots cheer news of Ted Cruz’s presidential campaign","2015-03-23 10:30:00Z","https://www.tedcruz.org/press/texas-grassroots-cheer-news-of-ted-cruzs-presidential-campaign/","[news;presidential campaign;convocation;convocation address]","[Ted Cruz]","[]","[Texas;Virginia;Lynchburg]","[Jobs;Universities]","","","","","188","Sen. Cruz, Ted - (R – TX) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","Hispanic","1970-12-22","45-54","[Law]","","[Federal;State]"
"62510451","Press Releases, News, Notices","Presidential Candidate Ted Cruz Speaks at Liberty University","2015-03-23 10:30:00Z","https://www.tedcruz.org/news/presidential-candidate-ted-cruz-speaks-at-liberty-university/","[university;young people;people;president;constitution;promise;liberty;millions;bread;health insurance premiums;religious liberty;teenage boy;first amendment rights;top marginal tax;young married couple;booming economic growth;precious little girls;american people;millions of people;christian university;lovers of liberty]","[Ronald Reagan;Thomas Jefferson;Patrick Henry;Jesus Christ;Ted Cruz;Franklin Delano Roosevelt]","[President of the United States;United Nations;IRS]","[United States;Kenya;California;Israel;Virginia;Iran;Cuba;Delaware;Nigeria;Washington;America;Berlin;Wilmington;Richmond;Vines;Batista;Africa;Houston;Austin;Calgary]","[Energy;Small Businesses;United Nations;Taxation;Education;Aviation Industry;Psychiatric Disorders;Medical Insurance;Health Care Reform;Crimes Against Humanity;Military Disputes;Terrorism;Energy Commodity Prices;Oil Companies;Soldiers;Nuclear Weapons;Careers;Unemployment;Jobs;Business Growth;Natural Disasters;Tax policies;Colleges;Educational Curriculum Development;School Policies;Private Schools;Public Schools;Universities;Religious Schools;Civil and Political Rights;Federal Governments;Mobile Telecommunications;Voice Communications]","","","","","2653","Sen. Cruz, Ted - (R – TX) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","Hispanic","1970-12-22","45-54","[Law]","","[Federal;State]"
"62510459","Press Releases, News, Notices","Ted Cruz Launches Presidential Campaign","2015-03-23 10:30:00Z","https://www.tedcruz.org/news/ted-cruz-launches-presidential-campaign/","[nomination;father;fight;video;campaign;truth;presidential campaign;conservative principles;immigrant father;announcement video;republican nomination;ad;real conservative change]","[Ted Cruz;Ted Cruz Launches]","[President of the United States;IRS]","[United States;Cuba;Washington;America]","[Political Representation;Computers and Information Technology]","","","","","581","Sen. Cruz, Ted - (R – TX) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","Hispanic","1970-12-22","45-54","[Law]","","[Federal;State]"
"62510435","Press Releases, News, Notices","ICYMI: Mike Allen’s Politico Playbook: ""Cruz Raises $500K In First Day""","2015-03-24 10:30:00Z","https://www.tedcruz.org/news/icymi-mike-allens-politico-playbook-cruz-raises-500k-in-first-day/","[winners;expectations;first day;last]","[Mike Allen;Ted Cruz]","[]","[Iowa;New York]","[]","","","","","370","Sen. Cruz, Ted - (R – TX) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","Hispanic","1970-12-22","45-54","[Law]","","[Federal;State]"
"62510443","Press Releases, News, Notices","ICYMI: Mike Gallagher Interviews Ted Cruz","2015-03-25 10:30:00Z","https://www.tedcruz.org/news/icymi-mike-gallagher-interviews-ted-cruz/","[day;executive;campaign;chase;executive order;prank;first day;illegal executive action;obamacare;illegal executive;damage obamacare]","[Mike Gallagher;Ted Cruz]","[]","[Princeton;Salem]","[Universities;High Schools]","","","","","499","Sen. Cruz, Ted - (R – TX) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","Hispanic","1970-12-22","45-54","[Law]","","[Federal;State]"
"62520939","Columns, Articles, Op-Eds, Blogs","Ted Cruz’s Rollout Breaks the Rules, Scores a Quick Million","2015-03-25 10:30:00Z","https://www.tedcruz.org/press/ted-cruzs-rollout-breaks-the-rules-scores-a-quick-million/","[campaign;data;scores;first day;small dollar donations;initial media reports;rollout]","[]","[]","[Texas]","[]","","","","","308","Sen. Cruz, Ted - (R – TX) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","Hispanic","1970-12-22","45-54","[Law]","","[Federal;State]"
"62520937","Columns, Articles, Op-Eds, Blogs","HotAir: Yes, Ted Cruz Could Repeal Common Core","2015-03-26 10:30:00Z","https://www.tedcruz.org/press/hotair-yes-ted-cruz-could-repeal-common-core/","[core;repeal;common core;common core education;core education;repeal common core]","[Ted Cruz;Josh Earnest]","[]","[Cruz I]","[Education;Educational Standards]","","","","","217","Sen. Cruz, Ted - (R – TX) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","Hispanic","1970-12-22","45-54","[Law]","","[Federal;State]"
"62520925","Columns, Articles, Op-Eds, Blogs","Breitbart: The Silicon Valley Libertarians Putting Serious Money Behind Ted Cruz","2015-03-26 10:30:00Z","https://www.tedcruz.org/press/breitbart-the-silicon-valley-libertarians-putting-serious-money-behind-ted-cruz/","[bid;libertarians;senate bid;largest single donor]","[Ted Cruz;Peter Thiel]","[]","[]","[]","","","","","216","Sen. Cruz, Ted - (R – TX) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","Hispanic","1970-12-22","45-54","[Law]","","[Federal;State]"
"62519863","Columns, Articles, Op-Eds, Blogs","What a week for the Cruz Campaign!","2015-03-27 10:30:00Z","https://www.tedcruz.org/what-a-week-for-the-cruz-campaign/","[campaign;supporters;announcement speech]","[Peggy Noonan;Ted Cruz;Jeff Roe]","[President of the United States]","[United States;South Carolina;Iowa;America;Houston]","[Universities]","","","","","315","Sen. Cruz, Ted - (R – TX) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","Hispanic","1970-12-22","45-54","[Law]","","[Federal;State]"
"62520929","Columns, Articles, Op-Eds, Blogs","Townhall: The Next ‘Greatest Generation’: A Millennial’s Perspective on Ted Cruz","2015-03-27 10:30:00Z","https://www.tedcruz.org/press/townhall-the-next-greatest-generation-a-millennials-perspective-on-ted-cruz/","[promise;speech;greatest generation;message of hope]","[Ted Cruz]","[]","[America]","[Colleges;Universities]","","","","","299","Sen. Cruz, Ted - (R – TX) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","Hispanic","1970-12-22","45-54","[Law]","","[Federal;State]"
