"releaseId","ContentType","Title","Date","Url","Keywords","Names","Organizations","Places","AssignedCategories","FavoritesLikes","RetweetsShares","FollowersCount","CommentsCount","WordCount","Source","Party","Gender","IsCurrent","SourceType","EducationLevel","Religion","Race","DateOfBirth","AgeRange","Industry","Military","PriorPublicOffice"
"51821687","YouTube","Ted Cruz for President","2015-03-23 06:15:22Z","http://www.youtube.com/watch?v=cEOKJRkhpxg","[]","[Ted Cruz]","[]","[]","[]","","","","","5","Sen. Cruz, Ted - (R – TX) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","Hispanic","1970-12-22","45-54","[Law]","","[Federal;State]"
"51821685","YouTube","Ted Cruz para Presidente","2015-03-23 09:57:22Z","http://www.youtube.com/watch?v=oB3smCq7Mjo","[]","[Ted Cruz]","[]","[Presidente]","[]","","","","","5","Sen. Cruz, Ted - (R – TX) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","Hispanic","1970-12-22","45-54","[Law]","","[Federal;State]"
"51821683","YouTube","Presidential Candidate Ted Cruz Speaks at Liberty University","2015-03-23 18:26:23Z","http://www.youtube.com/watch?v=ujW071RLYNg","[candidate;presidential candidate]","[Ted Cruz]","[]","[]","[Universities]","","","","","11","Sen. Cruz, Ted - (R – TX) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","Hispanic","1970-12-22","45-54","[Law]","","[Federal;State]"
"51821681","YouTube","Sen. Ted Cruz on CBS This Morning","2015-03-24 13:35:16Z","http://www.youtube.com/watch?v=6mXlcMYqGYg","[morning]","[Ted Cruz]","[]","[]","[]","","","","","10","Sen. Cruz, Ted - (R – TX) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","Hispanic","1970-12-22","45-54","[Law]","","[Federal;State]"
"51821679","YouTube","Sen. Ted Cruz on Bloomberg's With All Due Respect","2015-03-24 23:01:37Z","http://www.youtube.com/watch?v=ovWcU7mXwd8","[respect;due respect]","[Ted Cruz]","[]","[]","[]","","","","","13","Sen. Cruz, Ted - (R – TX) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","Hispanic","1970-12-22","45-54","[Law]","","[Federal;State]"
"51821677","YouTube","Sen. Ted Cruz on the Kelly File","2015-03-25 02:10:25Z","http://www.youtube.com/watch?v=xEl7qFuHVRU","[]","[Ted Cruz]","[]","[]","[]","","","","","10","Sen. Cruz, Ted - (R – TX) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","Hispanic","1970-12-22","45-54","[Law]","","[Federal;State]"
"51821675","YouTube","Sen. Ted Cruz on the Mike Gallagher Show","2015-03-25 15:57:18Z","http://www.youtube.com/watch?v=rX4tgPPAbzE","[]","[Mike Gallagher;Ted Cruz]","[]","[]","[]","","","","","12","Sen. Cruz, Ted - (R – TX) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","Hispanic","1970-12-22","45-54","[Law]","","[Federal;State]"
"51821673","YouTube","Ted Cruz: Real Conservative Change","2015-03-27 15:48:06Z","http://www.youtube.com/watch?v=uwdZlEmc618","[change;movement;conservative change;real conservative change]","[Ted Cruz]","[]","[]","[]","","","","","26","Sen. Cruz, Ted - (R – TX) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","Hispanic","1970-12-22","45-54","[Law]","","[Federal;State]"
"51821671","YouTube","This is Our Fight","2015-03-29 14:14:35Z","http://www.youtube.com/watch?v=M-AncjlTHpY","[fight]","[]","[]","[]","[]","","","","","5","Sen. Cruz, Ted - (R – TX) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","Hispanic","1970-12-22","45-54","[Law]","","[Federal;State]"
"51821669","YouTube","We need your support before midnight!","2015-03-31 18:47:33Z","http://www.youtube.com/watch?v=lLshTl5vJEo","[midnight;support]","[]","[]","[]","[]","","","","","7","Sen. Cruz, Ted - (R – TX) Presidential Campaign","Republican","Male","True","Candidates > Presidential 2016","Graduate","Protestant","Hispanic","1970-12-22","45-54","[Law]","","[Federal;State]"
